TITLE,p(TT-TII-PD)_KBr
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,matsulab
DATE,24/01/19
TIME,15:36:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,0.964233
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.1927
LASTX, 4000.6047
NPOINTS,    3736
FIRSTY,     0.04422
MAXY,     0.66816
MINY,     0.00100
XYDATA
661.4642,0.0230785
662.4284,0.023557
663.3926,0.0238863
664.3569,0.0240073
665.3211,0.0239133
666.2853,0.0236356
667.2496,0.023281
668.2138,0.02308
669.1780,0.0232279
670.1423,0.0235941
671.1065,0.0239048
672.0707,0.0240454
673.0350,0.0240405
673.9992,0.0239675
674.9634,0.0239236
675.9277,0.0240025
676.8919,0.0242583
677.8561,0.0246818
678.8204,0.025219
679.7846,0.0258096
680.7488,0.0264122
681.7131,0.0270102
682.6773,0.027611
683.6415,0.0282456
684.6058,0.0289628
685.5700,0.029807
686.5342,0.0307809
687.4985,0.0318032
688.4627,0.0326951
689.4269,0.0332197
690.3912,0.0331734
691.3554,0.0324831
692.3196,0.0312555
693.2839,0.0297497
694.2481,0.0282884
695.2123,0.0271535
696.1766,0.0265072
697.1408,0.026365
698.1050,0.0266202
699.0693,0.0271012
700.0335,0.0276326
700.9977,0.0280792
701.9620,0.0283714
702.9262,0.0285155
703.8904,0.0285932
704.8547,0.028743
705.8189,0.0291207
706.7831,0.029843
707.7474,0.0309334
708.7116,0.0322982
709.6758,0.0337507
710.6401,0.0350882
711.6043,0.0361965
712.5685,0.0371343
713.5328,0.038134
714.4970,0.0394909
715.4612,0.0413843
716.4255,0.0437325
717.3897,0.0461654
718.3539,0.0481461
719.3182,0.0492084
720.2824,0.0491982
721.2466,0.0483432
722.2109,0.0470687
723.1751,0.0457058
724.1393,0.0443336
725.1036,0.0428425
726.0678,0.041119
727.0320,0.0391964
727.9963,0.0372685
728.9605,0.0355716
729.9247,0.034238
730.8890,0.0332382
731.8532,0.0324383
732.8174,0.0317085
733.7817,0.0309913
734.7459,0.0302944
735.7101,0.0296393
736.6744,0.0290255
737.6386,0.0284386
738.6028,0.0278813
739.5671,0.0273872
740.5313,0.0269984
741.4955,0.0267303
742.4598,0.0265581
743.4240,0.0264388
744.3882,0.0263448
745.3525,0.0262795
746.3167,0.0262686
747.2809,0.0263535
748.2452,0.0266132
749.2094,0.0272019
750.1736,0.0283493
751.1379,0.0302749
752.1021,0.0330263
753.0663,0.0363275
754.0306,0.0395529
754.9948,0.0418967
755.9590,0.0426882
756.9233,0.0416909
757.8875,0.0392055
758.8517,0.0359168
759.8160,0.0325887
760.7802,0.02979
761.7444,0.0277732
762.7087,0.0265172
763.6729,0.0258519
764.6371,0.0255763
765.6014,0.0255187
766.5656,0.025547
767.5298,0.0255647
768.4941,0.0255164
769.4583,0.0253997
770.4225,0.0252656
771.3868,0.0251941
772.3510,0.0252573
773.3152,0.0254887
774.2795,0.0258738
775.2437,0.026361
776.2079,0.0268814
777.1722,0.0273693
778.1364,0.0277819
779.1006,0.0281223
780.0649,0.0284649
781.0291,0.028972
781.9933,0.029885
782.9576,0.0314752
783.9218,0.0339584
784.8860,0.0373944
785.8503,0.041612
786.8145,0.0462032
787.7787,0.0506074
788.7430,0.0542691
789.7072,0.0568048
790.6714,0.0581015
791.6357,0.0583031
792.5999,0.0577052
793.5641,0.0566259
794.5284,0.0553209
795.4926,0.0539645
796.4568,0.0526755
797.4211,0.0515434
798.3853,0.0506312
799.3495,0.0499595
800.3138,0.049497
801.2780,0.0491722
802.2422,0.0489021
803.2065,0.0486169
804.1707,0.0482643
805.1349,0.0477967
806.0992,0.0471599
807.0634,0.0462972
808.0276,0.0451722
808.9919,0.0437936
809.9561,0.0422274
810.9203,0.0405879
