Sheet Name,Up Mobility (cm^2/Vs),Down Mobility (cm^2/Vs),Avg (of Up and Down) Mobility (cm^2/Vs),ID_on (A),ID_off (A),ID_on_off_ratio,Threshold Voltage (V)
AU-050-B-1,9.612791557518004e-05,5.5487338621121526e-05,7.580762709815079e-05,-1.1294805979389366e-08,-1.4115612012588483e-09,8.00164099814908,-27.174687049980783
AU-050-B-2,0.00012373348563552412,4.807155264414603e-05,8.590251913983508e-05,-9.535974676566639e-09,2.6362290128645327e-10,-36.172785558584025,-33.25195776069212
Average,0.00010993070060535208,5.1779445632633774e-05,8.085507311899294e-05,-1.0415390327978002e-08,-5.739691499861975e-10,-14.085572280217473,-30.213322405336452
Std,5.243752552147479e-06,1.9520085788189628e-05,1.4292142771579703e-05,1.2436815411891208e-09,1.1845340386456835e-09,31.23603657329309,4.297279330650377
