imine polymer 0% TFA,,imine polymer 0.017% TFA,,imine polymer 0.05% TFA,,imine polymer 0.25% TFA,,imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1371.333374,0.000471924548,1371.333374,0.001354652341,1371.333374,0.001011688029,1371.333374,0.003842036473,1371.333374,0.005092544947,
1370.666626,0.0004548215657,1370.666626,0.001415496925,1370.666626,0.001041786745,1370.666626,0.003804195905,1370.666626,0.005228341557,
1370,0.000406548148,1370,0.001364234253,1370,0.001016410301,1370,0.00383587298,1370,0.005304117221,
1369.333374,0.0004137771612,1369.333374,0.001371271443,1369.333374,0.001040255884,1369.333374,0.003847808111,1369.333374,0.005417516921,
1368.666626,0.0004415542644,1368.666626,0.001438637264,1368.666626,0.00112135103,1368.666626,0.00385044585,1368.666626,0.005486299749,
1368,0.0004334956175,1368,0.001404927112,1368,0.001060547656,1368,0.003817514051,1368,0.005486745387,
1367.333374,0.0004727019696,1367.333374,0.001460116473,1367.333374,0.001092025312,1367.333374,0.003818767611,1367.333374,0.005461212713,
1366.666626,0.0003299125237,1366.666626,0.001308901235,1366.666626,0.0009813577635,1366.666626,0.003527765861,1366.666626,0.005194467027,
1366,0.0004520229704,1366,0.001335904701,1366,0.0009973917622,1366,0.003534368472,1366,0.005205286667,
1365.333374,0.000533682236,1365.333374,0.001310511027,1365.333374,0.001031770953,1365.333374,0.00348348124,1365.333374,0.005073321052,
1364.666626,0.0004517897323,1364.666626,0.001231431263,1364.666626,0.0008565047174,1364.666626,0.003270681249,1364.666626,0.0047615082,
1364,0.0004714840034,1364,0.00122335786,1364,0.0007934303139,1364,0.003174763406,1364,0.004571336787,
1363.333374,0.0004634248035,1363.333374,0.001159944688,1363.333374,0.0007642304408,1363.333374,0.003052979941,1363.333374,0.004399421625,
1362.666626,0.0004329773656,1362.666626,0.001086186268,1362.666626,0.0006873760722,1362.666626,0.002949474147,1362.666626,0.004274889361,
1362,0.0005287579261,1362,0.001137857442,1362,0.0007183858543,1362,0.002985441592,1362,0.004171562381,
1361.333374,0.0004164718848,1361.333374,0.001003904152,1361.333374,0.0006356548402,1361.333374,0.002840703353,1361.333374,0.004019661341,
