non-imine undoped,,non-imine 5 sec TFA vapour,,non-imine 10 sec TFA vapour,,non-imine 30 sec TFA vapour,,non-imine 1min TFA vapour,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1001.333313,-0.01344257221,1001.333313,-0.01531268377,1001.333313,-0.01527819782,1001.333313,-0.01661715657,1001.333313,-0.01575826108,
1000.666687,-0.01340914238,1000.666687,-0.01524925698,1000.666687,-0.01521286555,1000.666687,-0.01657694392,1000.666687,-0.01580858603,
1000,-0.01339980494,1000,-0.01519901864,1000,-0.01527674776,1000,-0.01642966084,1000,-0.01573794149,
999.333313,-0.01364335231,999.333313,-0.01525190566,999.333313,-0.0152571043,999.333313,-0.01644725725,999.333313,-0.01596930251,
998.666687,-0.01338143181,998.666687,-0.01522421371,998.666687,-0.0150534194,998.666687,-0.01633329131,998.666687,-0.01568431407,
998,-0.01345833298,998,-0.01529119257,998,-0.0153162824,998,-0.01656249166,998,-0.01594939083,
997.333313,-0.01344056427,997.333313,-0.01510567404,997.333313,-0.01500385813,997.333313,-0.01625594869,997.333313,-0.01570493728,
996.666687,-0.01345758047,996.666687,-0.01534906682,996.666687,-0.01530623715,996.666687,-0.01648997515,996.666687,-0.01589983143,
996,-0.013360749,996,-0.01528664492,996,-0.01522711292,996,-0.01631888002,996,-0.01577284001,
995.333313,-0.01344136801,995.333313,-0.01525635459,995.333313,-0.01524485834,995.333313,-0.01642387919,995.333313,-0.01589843445,
994.666687,-0.01338479575,994.666687,-0.01516492292,994.666687,-0.01530938502,994.666687,-0.01656902023,994.666687,-0.0157841742,
994,-0.01340718381,994,-0.01532332879,994,-0.01517877169,994,-0.01632690802,994,-0.0158242099,
993.333313,-0.01327428967,993.333313,-0.0152608538,993.333313,-0.01529928949,993.333313,-0.01654609479,993.333313,-0.01574572921,
992.666687,-0.01327885874,992.666687,-0.01515157428,992.666687,-0.01514402404,992.666687,-0.01644960046,992.666687,-0.01569025591,
992,-0.01349211112,992,-0.01526700146,992,-0.0154015366,992,-0.01651853509,992,-0.01588365994,
991.333313,-0.01325053815,991.333313,-0.01513572503,991.333313,-0.01509792358,991.333313,-0.01636744477,991.333313,-0.01579011418,
990.666687,-0.01343860757,990.666687,-0.01528694481,990.666687,-0.01519731898,990.666687,-0.01642921194,990.666687,-0.01581996679,
990,-0.013438005,990,-0.01525505539,990,-0.01525455527,990,-0.01660873555,990,-0.01586714014,
989.333313,-0.01341551729,989.333313,-0.0152737489,989.333313,-0.01516802236,989.333313,-0.01646644995,989.333313,-0.01593461819,
988.666687,-0.01365378778,988.666687,-0.0153426202,988.666687,-0.01522321347,988.666687,-0.01670878194,988.666687,-0.01584822126,
988,-0.01346425619,988,-0.01512742508,988,-0.01505066827,988,-0.01649306528,988,-0.01565844566,
987.333313,-0.01351660211,987.333313,-0.01520276815,987.333313,-0.01508757286,987.333313,-0.01656877063,987.333313,-0.01586239785,
986.666687,-0.01351640187,986.666687,-0.01529299188,986.666687,-0.01531218458,986.666687,-0.01657933556,986.666687,-0.01583015174,
986,-0.01323939022,986,-0.01503406558,986,-0.01498535275,986,-0.01639157347,986,-0.01566129364,
985.333313,-0.01357787475,985.333313,-0.01526240259,985.333313,-0.01532497816,985.333313,-0.0167268645,985.333313,-0.01588810235,
984.666687,-0.01357064862,984.666687,-0.01539833844,984.666687,-0.01540783234,984.666687,-0.01659273915,984.666687,-0.01597958244,
984,-0.0134544177,984,-0.01523211133,984,-0.01531383302,984,-0.01657101326,984,-0.01581981778,
983.333313,-0.01339709479,983.333313,-0.01522921212,983.333313,-0.01538859401,983.333313,-0.01652994752,983.333313,-0.01589858346,
982.666687,-0.0134879956,982.666687,-0.01524940692,982.666687,-0.01533007622,982.666687,-0.01666035503,982.666687,-0.01593162492,
982,-0.01372768078,982,-0.01542167272,982,-0.01533282455,982,-0.01678409986,982,-0.01596446149,
981.333313,-0.01349823363,981.333313,-0.01535096578,981.333313,-0.01545285061,981.333313,-0.01671336405,981.333313,-0.01576170698,
980.666687,-0.01337309834,980.666687,-0.0153981382,980.666687,-0.01545150112,980.666687,-0.01675062627,980.666687,-0.01584487595,
980,-0.01357084978,980,-0.01528154593,980,-0.01546639018,980,-0.01671007648,980,-0.01601530984,
979.333313,-0.01350355428,979.333313,-0.0154040847,979.333313,-0.01536620781,979.333313,-0.01685009152,979.333313,-0.0160330236,
978.666687,-0.01339714415,978.666687,-0.01528854389,978.666687,-0.0153415706,978.666687,-0.01667585038,978.666687,-0.01580898464,
978,-0.01331857592,978,-0.01536570769,978,-0.01536270976,978,-0.0166950319,978,-0.01597968116,
977.333313,-0.01333785523,977.333313,-0.01526140328,977.333313,-0.01535441354,977.333313,-0.01667854004,977.333313,-0.01578756794,
976.666687,-0.0133527657,976.666687,-0.01525835413,976.666687,-0.01519536879,976.666687,-0.01665646955,976.666687,-0.0156839136,
976,-0.01333147939,976,-0.01517037209,976,-0.01524905674,976,-0.01658307202,976,-0.015912259,
975.333313,-0.01336039696,975.333313,-0.01516832225,975.333313,-0.01530068927,975.333313,-0.01677737571,975.333313,-0.01596436277,
974.666687,-0.01348227449,974.666687,-0.0153316753,974.666687,-0.01538439654,974.666687,-0.01666369289,974.666687,-0.01584527642,
974,-0.01338298805,974,-0.01541297883,974,-0.0153196808,974,-0.01674793661,974,-0.01591315866,
973.333313,-0.0132844327,973.333313,-0.01517452206,973.333313,-0.01520081796,973.333313,-0.01663609035,973.333313,-0.0158231128,
972.666687,-0.01336938329,972.666687,-0.01517802104,972.666687,-0.01534092054,972.666687,-0.01663449593,972.666687,-0.01590262726,
972,-0.01333052479,972,-0.01514187455,972,-0.01526380237,972,-0.01650343277,972,-0.01583664119,
971.333313,-0.01325822063,971.333313,-0.01530673634,971.333313,-0.01528724469,971.333313,-0.01661745459,971.333313,-0.01579091325,
970.666687,-0.01336652227,970.666687,-0.01522131357,970.666687,-0.01536820643,970.666687,-0.01662293635,970.666687,-0.01584772207,
970,-0.01324230246,970,-0.01528034639,970,-0.01523416117,970,-0.01648259908,970,-0.01571177691,
969.333313,-0.01328187156,969.333313,-0.0150734717,969.333313,-0.0152695002,969.333313,-0.01656752452,969.333313,-0.01569125429,
968.666687,-0.01333875861,968.666687,-0.0151961185,968.666687,-0.0152499564,968.666687,-0.01644237339,968.666687,-0.01571881771,
968,-0.0134566268,968,-0.0154053336,968,-0.01545644738,968,-0.01669592783,968,-0.01594380103,
967.333313,-0.01327223051,967.333313,-0.01519661862,967.333313,-0.01528529543,967.333313,-0.01644830406,967.333313,-0.01570273936,
966.666687,-0.01332906913,966.666687,-0.01531178411,966.666687,-0.01535221469,966.666687,-0.01654629409,966.666687,-0.01583718881,
966,-0.01330265962,966,-0.01512137521,966,-0.01523716003,966,-0.01652381755,966,-0.01581083238,
965.333313,-0.01334854867,965.333313,-0.01528959349,965.333313,-0.01523760986,965.333313,-0.01659493148,965.333313,-0.01575881056,
964.666687,-0.01319881249,964.666687,-0.01508712303,964.666687,-0.01514657401,964.666687,-0.01655980013,964.666687,-0.01579665393,
964,-0.0132583715,964,-0.01508402266,964,-0.01512472518,964,-0.01654529758,964,-0.01562139019,
963.333313,-0.01337430347,963.333313,-0.01512127463,963.333313,-0.01495053992,963.333313,-0.01645324007,963.333313,-0.01576709934,
962.666687,-0.01334257424,962.666687,-0.01523361076,962.666687,-0.01521036588,962.666687,-0.01671560667,962.666687,-0.01582735591,
962,-0.01331827417,962,-0.01534881722,962,-0.01527239941,962,-0.01656971686,962,-0.01582835428,
961.333313,-0.01322442479,961.333313,-0.01509097312,961.333313,-0.015035416,961.333313,-0.01650582626,961.333313,-0.01565470174,
960.666687,-0.01338198408,960.666687,-0.0152776977,960.666687,-0.01535256486,960.666687,-0.01664849743,960.666687,-0.01583838835,
960,-0.01330436673,960,-0.01506027021,960,-0.01526595186,960,-0.01650652289,960,-0.01576045901,
959.333313,-0.01337144151,959.333313,-0.01528269611,959.333313,-0.01527045015,959.333313,-0.01665004157,959.333313,-0.01588361152,
958.666687,-0.0131269889,958.666687,-0.01500630844,958.666687,-0.01529829018,958.666687,-0.01650403067,958.666687,-0.0157154724,
958,-0.01334523503,958,-0.01513457485,958,-0.01518652029,958,-0.01644860394,958,-0.0156534519,
957.333313,-0.01327986363,957.333313,-0.01526860055,957.333313,-0.01532507874,957.333313,-0.01646784507,957.333313,-0.01574448124,
956.666687,-0.01316626742,956.666687,-0.01516352315,956.666687,-0.01515837386,956.666687,-0.0165967755,956.666687,-0.01550350897,
956,-0.0132951783,956,-0.0151615236,956,-0.01534062065,956,-0.01654499955,956,-0.01573654264,
955.333313,-0.01344166882,955.333313,-0.01528359577,955.333313,-0.01538519654,955.333313,-0.01676258072,955.333313,-0.01583788916,
954.666687,-0.01325274725,954.666687,-0.01516912226,954.666687,-0.01533787232,954.666687,-0.01675361581,954.666687,-0.01578841731,
954,-0.01326821372,954,-0.01522626262,954,-0.01534816716,954,-0.01656099595,954,-0.01574058831,
953.333313,-0.01341476385,953.333313,-0.01536021102,953.333313,-0.01548732352,953.333313,-0.0166046489,953.333313,-0.01590277627,
952.666687,-0.013379273,952.666687,-0.01518892031,952.666687,-0.01548477542,952.666687,-0.01664351486,952.666687,-0.01579016447,
952,-0.01341632009,952,-0.01533862203,952,-0.01527634822,952,-0.01666608453,952,-0.01571627147,
951.333313,-0.01324431133,951.333313,-0.01519841887,951.333313,-0.01533792261,951.333313,-0.01665726677,951.333313,-0.01567058079,
950.666687,-0.0133049693,950.666687,-0.01520401705,950.666687,-0.01540333498,950.666687,-0.01676223241,950.666687,-0.01583843678,
950,-0.01334398054,950,-0.01525565516,950,-0.01538879424,950,-0.0166700203,950,-0.015697347,
949.333313,-0.01330230758,949.333313,-0.01513852458,949.333313,-0.01521816477,949.333313,-0.01676014066,949.333313,-0.01580304466,
948.666687,-0.01358108595,948.666687,-0.01536780689,948.666687,-0.01541302912,948.666687,-0.0168248415,948.666687,-0.01584352925,
948,-0.01332289353,948,-0.01524105947,948,-0.01537330355,948,-0.01685701497,948,-0.01584213227,
947.333313,-0.01328121871,947.333313,-0.01531593222,947.333313,-0.01530663669,947.333313,-0.01682269946,947.333313,-0.015832996,
946.666687,-0.01326941885,946.666687,-0.01514442451,946.666687,-0.01514152437,946.666687,-0.01657345518,946.666687,-0.01569165476,
946,-0.01331124548,946,-0.01516782306,946,-0.01518267114,946,-0.01667978615,946,-0.01583154872,
945.333313,-0.01344176941,945.333313,-0.0153089352,945.333313,-0.01528224628,945.333313,-0.0166702196,945.333313,-0.01585256495,
944.666687,-0.0131164901,944.666687,-0.01509472355,944.666687,-0.01518237125,944.666687,-0.01647507213,944.666687,-0.01573948935,
944,-0.01323642675,944,-0.01528699417,944,-0.01520651672,944,-0.01653443277,944,-0.01568491384,
943.333313,-0.0131834941,943.333313,-0.01521501504,943.333313,-0.01530243829,943.333313,-0.01662363485,943.333313,-0.01581722125,
942.666687,-0.01323055103,942.666687,-0.01531888079,942.666687,-0.01529938914,942.666687,-0.01668262668,942.666687,-0.01586394385,
942,-0.01323482022,942,-0.01523686014,942,-0.01521876454,942,-0.01663703844,942,-0.01570278965,
941.333313,-0.01321056392,941.333313,-0.01523366105,941.333313,-0.01516597252,941.333313,-0.01660056412,941.333313,-0.01576100849,
940.666687,-0.01316621713,940.666687,-0.01501146052,940.666687,-0.01528009679,940.666687,-0.01650697179,940.666687,-0.01558792777,
940,-0.01307328884,940,-0.0150866732,940,-0.01538649574,940,-0.01658337191,940,-0.01573095098,
939.333313,-0.01328729466,939.333313,-0.01527409907,939.333313,-0.01546943747,939.333313,-0.01661227271,939.333313,-0.01579989865,
938.666687,-0.01309428737,938.666687,-0.01497384906,938.666687,-0.01507297158,938.666687,-0.01657868735,938.666687,-0.01563767157,
938,-0.01312985178,938,-0.01499340497,938,-0.01530733611,938,-0.01654574648,938,-0.01564895734,
937.333313,-0.01304229163,937.333313,-0.01497239806,937.333313,-0.01517147198,937.333313,-0.01663878188,937.333313,-0.01570653357,
936.666687,-0.01301536243,936.666687,-0.01502211299,936.666687,-0.01509787422,936.666687,-0.01652262174,936.666687,-0.01565430127,
936,-0.01333067566,936,-0.01510122418,936,-0.01542397123,936,-0.01654135995,936,-0.01575212181,
935.333313,-0.01334086712,935.333313,-0.01517192181,935.333313,-0.01533012651,935.333313,-0.016742507,935.333313,-0.01573679224,
934.666687,-0.01322653424,934.666687,-0.01510912459,934.666687,-0.01536500826,934.666687,-0.01676990278,934.666687,-0.01586539298,
934,-0.01309082098,934,-0.01491902582,934,-0.01522656251,934,-0.0165749006,934,-0.01568001881,
933.333313,-0.01316420734,933.333313,-0.01503131445,933.333313,-0.01524400804,933.333313,-0.0166134201,933.333313,-0.01579510607,
932.666687,-0.01311081368,932.666687,-0.01516107284,932.666687,-0.01523206104,932.666687,-0.01660455018,932.666687,-0.01592039503,
932,-0.01319022384,932,-0.01498390175,932,-0.01531528309,932,-0.01648992486,932,-0.01587138139,
931.333313,-0.01316948142,931.333313,-0.01498140115,931.333313,-0.01536555775,931.333313,-0.01645712741,931.333313,-0.0159218926,
930.666687,-0.01306419633,930.666687,-0.01498790365,930.666687,-0.0152821457,930.666687,-0.0166121237,930.666687,-0.01583798788,
930,-0.01328478381,930,-0.01523745991,930,-0.01539249159,930,-0.01664525829,930,-0.01604394987,
929.333313,-0.01294793002,929.333313,-0.0150406165,929.333313,-0.01523496117,929.333313,-0.01635612734,929.333313,-0.015663689,
928.666687,-0.01323707961,928.666687,-0.01514522452,928.666687,-0.01541932486,928.666687,-0.01657345518,928.666687,-0.0159633141,
928,-0.01298285369,928,-0.0151824709,928,-0.01540008746,928,-0.01672671549,928,-0.01589539088,
927.333313,-0.01317314804,927.333313,-0.01510202419,927.333313,-0.01535881124,927.333313,-0.01665492542,927.333313,-0.01581098139,
926.666687,-0.01302239578,926.666687,-0.01518042106,926.666687,-0.01525225583,926.666687,-0.01677055098,926.666687,-0.01585201547,
926,-0.01297255233,926,-0.01498120092,926,-0.01520146802,926,-0.01653124392,926,-0.01567242853,
925.333313,-0.01307092793,925.333313,-0.01518162061,925.333313,-0.01542467065,925.333313,-0.01680676267,925.333313,-0.01596471108,
924.666687,-0.01314848661,924.666687,-0.01527514867,924.666687,-0.01547383424,924.666687,-0.01672088727,924.666687,-0.01600323431,
924,-0.01312161423,924,-0.01523071155,924,-0.0155597562,924,-0.01677607931,924,-0.01590292715,
923.333313,-0.01300626807,923.333313,-0.01514812373,923.333313,-0.01519751828,923.333313,-0.01671455987,923.333313,-0.01580244489,
922.666687,-0.01317455433,922.666687,-0.01510462444,922.666687,-0.01538179815,922.666687,-0.01669856906,922.666687,-0.01603556797,
922,-0.01306354254,922,-0.01512047462,922,-0.01539898757,922,-0.01665362902,922,-0.01588640548,
921.333313,-0.01306389458,921.333313,-0.01507612225,921.333313,-0.01539279148,921.333313,-0.01663006097,921.333313,-0.01583609171,
920.666687,-0.01330667641,920.666687,-0.01519176923,920.666687,-0.01563372649,920.666687,-0.01670888066,920.666687,-0.01608770527,
920,-0.01316239964,920,-0.01518147066,920,-0.01525525469,920,-0.0165561121,920,-0.01580563933,
919.333313,-0.01328418124,919.333313,-0.01527819782,919.333313,-0.01539214235,919.333313,-0.01667983644,919.333313,-0.01593202353,
918.666687,-0.01320845447,918.666687,-0.01503661554,918.666687,-0.01547188591,918.666687,-0.01657176018,918.666687,-0.01589873433,
918,-0.01345296297,918,-0.01527634822,918,-0.0155080054,918,-0.01685437374,918,-0.01592398807,
917.333313,-0.0132349208,917.333313,-0.01525660511,917.333313,-0.01537630148,917.333313,-0.01671306603,917.333313,-0.01591640152,
916.666687,-0.01315366011,916.666687,-0.01545499917,916.666687,-0.01571357436,916.666687,-0.01699235104,916.666687,-0.01606789976,
916,-0.01310644392,916,-0.01532692742,916,-0.01564001851,916,-0.0167799145,916,-0.01600722782,
915.333313,-0.01329603139,915.333313,-0.01535346452,915.333313,-0.01560211182,915.333313,-0.01695018075,915.333313,-0.01617594995,
914.666687,-0.01316089276,914.666687,-0.01534946635,914.666687,-0.01557329297,914.666687,-0.01683823951,914.666687,-0.01616158523,
914,-0.01327218022,914,-0.01526190341,914,-0.01550291013,914,-0.01678295434,914,-0.01598212682,
913.333313,-0.01315833163,913.333313,-0.01529284194,913.333313,-0.01556155458,913.333313,-0.01681114547,913.333313,-0.0160651058,
912.666687,-0.01317460462,912.666687,-0.01537545212,912.666687,-0.01555151492,912.666687,-0.01692792401,912.666687,-0.01603551768,
912,-0.01308298483,912,-0.01531188469,912,-0.01557014603,912,-0.01683031954,912,-0.01609344222,
911.333313,-0.0132106645,911.333313,-0.0153909428,911.333313,-0.01551015303,911.333313,-0.01673010364,911.333313,-0.01600378379,
910.666687,-0.01299903262,910.666687,-0.01515047438,910.666687,-0.01541073062,910.666687,-0.01678464748,910.666687,-0.01609513909,
910,-0.01325947605,910,-0.01533532329,910,-0.01563916914,910,-0.01676213369,910,-0.0160491392,
909.333313,-0.01322271768,909.333313,-0.01527754776,909.333313,-0.0154478047,909.333313,-0.01672537066,909.333313,-0.0159504395,
908.666687,-0.01321317535,908.666687,-0.01529499143,908.666687,-0.01555985678,908.666687,-0.01683121733,908.666687,-0.01611045375,
908,-0.01317530777,908,-0.0153862955,908,-0.01565245353,908,-0.01677712612,908,-0.01596600935,
907.333313,-0.01306585409,907.333313,-0.01531893108,907.333313,-0.0155395763,907.333313,-0.0166651886,907.333313,-0.01605333015,
906.666687,-0.01318299212,906.666687,-0.01547908038,906.666687,-0.01548857242,906.666687,-0.01669129543,906.666687,-0.01587482542,
906,-0.01343142893,906,-0.01555471122,906,-0.01568800956,906,-0.01681916416,906,-0.01625983976,
905.333313,-0.01312904805,905.333313,-0.01533832215,905.333313,-0.01537874993,905.333313,-0.01671117172,905.333313,-0.01594619639,
904.666687,-0.01320644561,904.666687,-0.01542617008,904.666687,-0.01568780839,904.666687,-0.01703367196,904.666687,-0.01600962132,
904,-0.01314431801,904,-0.01538014971,904,-0.01550136134,904,-0.01672546938,904,-0.01606330834,
903.333313,-0.01309478935,903.333313,-0.01533727255,903.333313,-0.0155145498,903.333313,-0.01696009003,903.333313,-0.01604674384,
902.666687,-0.01306871697,902.666687,-0.01549341809,902.666687,-0.01549181901,902.666687,-0.01696103625,902.666687,-0.01599315554,
902,-0.01334347855,902,-0.01558832731,902,-0.01567107998,902,-0.01689889468,902,-0.01620592736,
901.333313,-0.0132303508,901.333313,-0.01556739863,901.333313,-0.01578452252,901.333313,-0.01697965711,901.333313,-0.01613983698,
900.666687,-0.01332294382,900.666687,-0.01552084368,900.666687,-0.01557853725,900.666687,-0.01703461818,900.666687,-0.01620961726,
900,-0.0132064959,900,-0.01560036372,900,-0.01579470746,900,-0.01702137664,900,-0.01613809168,
899.333313,-0.01565220393,899.333313,-0.0247751493,899.333313,-0.02131233178,899.333313,-0.01987910271,899.333313,-0.02305335179,
898.666626,-0.01756560057,898.666626,-0.01613739319,898.666626,-0.0191624444,898.666626,-0.01981396414,898.666626,-0.0175043419,
898,-0.01601131819,898,-0.02419131622,898,-0.01633064821,898,-0.0173365809,898,-0.01513092499,
897.333313,-0.01382844336,897.333313,-0.02483807877,897.333313,-0.02226844244,897.333313,-0.02649457753,897.333313,-0.02476248331,
896.666626,-0.02611326985,896.666626,-0.03325399384,896.666626,-0.02624697238,896.666626,-0.03200400621,896.666626,-0.03497678787,
896,-0.01110336743,896,-0.01960448734,896,-0.02215835452,896,-0.02387409098,896,-0.01825486496,
895.333313,-0.0172295142,895.333313,-0.02188749053,895.333313,-0.02561743557,895.333313,-0.0244547762,895.333313,-0.0264677871,
894.666626,-0.02306989767,894.666626,-0.01733324863,894.666626,-0.02123409696,894.666626,-0.02824424207,894.666626,-0.02460943907,
894,-0.01331742108,894,-0.02079129219,894,-0.0168813169,894,-0.02184392326,894,-0.02342813276,
893.333313,-0.01403826755,893.333313,-0.02343863063,893.333313,-0.02562548965,893.333313,-0.0220677238,893.333313,-0.02758586966,
892.666626,-0.02303886972,892.666626,-0.02549301088,892.666626,-0.02300125919,892.666626,-0.02057833597,892.666626,-0.02517536655,
892,-0.01301546209,892,-0.02157069556,892,-0.0231681224,892,-0.01854313351,892,-0.02618292905,
891.333313,-0.01535986084,891.333313,-0.02218285389,891.333313,-0.02257917635,891.333313,-0.02718373388,891.333313,-0.02087236941,
890.666626,-0.008369920775,890.666626,-0.02132214047,890.666626,-0.02033286728,890.666626,-0.02165940963,890.666626,-0.02209965885,
890,-0.02096078172,890,-0.01660843566,890,-0.01887309924,890,-0.02291782759,890,-0.02555012703,
889.333313,-0.0185916964,889.333313,-0.01677906886,889.333313,-0.02341704629,889.333313,-0.02091307379,889.333313,-0.0270627737,
888.666626,-0.02039530873,888.666626,-0.02093680575,888.666626,-0.02144835703,888.666626,-0.02053340152,888.666626,-0.02251660451,
888,-0.01434687898,888,-0.02718845196,888,-0.02103970572,888,-0.02434068918,888,-0.0248978734,
887.333313,-0.01311478205,887.333313,-0.02091539279,887.333313,-0.0218623355,887.333313,-0.0220125597,887.333313,-0.02570030093,
886.666626,-0.0162467733,886.666626,-0.02350258827,886.666626,-0.02501806989,886.666626,-0.02442379855,886.666626,-0.02537226118,
886,-0.01452721469,886,-0.02216253616,886,-0.01666917466,886,-0.02037204243,886,-0.02032456733,
885.333313,-0.01787400246,885.333313,-0.02163167857,885.333313,-0.02131139487,885.333313,-0.02241975628,885.333313,-0.02320174314,
884.666626,-0.017313499,884.666626,-0.01927631535,884.666626,-0.02152044326,884.666626,-0.01752308756,884.666626,-0.01836862788,
884,-0.01405741554,884,-0.0243905168,884,-0.01908951811,884,-0.02462636493,884,-0.02435077168,
883.333313,-0.0159689039,883.333313,-0.02360561863,883.333313,-0.02217089944,883.333313,-0.02222289518,883.333313,-0.02207318693,
882.666626,-0.01120468881,882.666626,-0.01789770089,882.666626,-0.0231850557,882.666626,-0.02326789498,882.666626,-0.02057171986,
882,-0.01823207922,882,-0.02006877214,882,-0.02547494695,882,-0.0246376656,882,-0.02441537939,
881.333313,-0.01478364132,881.333313,-0.01796685345,881.333313,-0.01935520023,881.333313,-0.02146466821,881.333313,-0.02439262159,
880.666626,-0.01425620727,880.666626,-0.01945872419,880.666626,-0.02149147354,880.666626,-0.02326009423,880.666626,-0.01926670782,
880,-0.01774713956,880,-0.02372298948,880,-0.02286458947,880,-0.0219774209,880,-0.02573148161,
879.333313,-0.01486434694,879.333313,-0.02215682901,879.333313,-0.02057675458,879.333313,-0.02120836079,879.333313,-0.01996005327,
878.666626,-0.01906855963,878.666626,-0.01997557841,878.666626,-0.01961695775,878.666626,-0.02257042751,878.666626,-0.02110160328,
878,-0.01759901084,878,-0.02177262865,878,-0.02158311009,878,-0.02429702319,878,-0.02170240507,
877.333313,-0.01750633121,877.333313,-0.02380910702,877.333313,-0.0225793235,877.333313,-0.02293781564,877.333313,-0.02262144163,
876.666626,-0.01505026873,876.666626,-0.02260507643,876.666626,-0.01931989379,876.666626,-0.02251921035,876.666626,-0.02365675755,
876,-0.01203682553,876,-0.0218738541,876,-0.02402744256,876,-0.02159616351,876,-0.02211673185,
875.333313,-0.01742795482,875.333313,-0.02350126393,875.333313,-0.02136965469,875.333313,-0.02513608523,875.333313,-0.02555247024,
874.666626,-0.01369888801,874.666626,-0.01861491054,874.666626,-0.01822135597,874.666626,-0.01916090772,874.666626,-0.02234973572,
874,-0.01525700465,874,-0.01888088137,874,-0.02049552463,874,-0.02150443196,874,-0.01999570243,
873.333313,-0.01508047245,873.333313,-0.02056821249,873.333313,-0.01989215799,873.333313,-0.02263893746,873.333313,-0.0215977896,
872.666626,-0.01426307112,872.666626,-0.0195352491,872.666626,-0.02052159794,872.666626,-0.02493145689,872.666626,-0.0227122996,
872,-0.017405672,872,-0.02197062783,872,-0.02291930094,872,-0.02470853925,872,-0.02235475183,
871.333313,-0.01545270067,871.333313,-0.01952584647,871.333313,-0.02219033055,871.333313,-0.02248047292,871.333313,-0.02107832581,
870.666626,-0.01409194898,870.666626,-0.0231464766,870.666626,-0.02218354307,870.666626,-0.02315064892,870.666626,-0.02476937883,
870,-0.01686249301,870,-0.02121038176,870,-0.02152729221,870,-0.02265023999,870,-0.02341346629,
869.333313,-0.01536625717,869.333313,-0.01857011952,869.333313,-0.02146821655,869.333313,-0.02277548239,869.333313,-0.02018191107,
868.666626,-0.01480370667,868.666626,-0.02378322929,868.666626,-0.0233178474,868.666626,-0.02245471254,868.666626,-0.02277710289,
868,-0.01842768118,868,-0.02017469704,868,-0.02136832476,868,-0.02608499303,868,-0.0227565188,
867.333313,-0.01538649574,867.333313,-0.0215363577,867.333313,-0.02186711133,867.333313,-0.02203263901,867.333313,-0.02101321891,
866.666626,-0.0138726728,866.666626,-0.02014064416,866.666626,-0.01805695146,866.666626,-0.01905290224,866.666626,-0.01959929056,
866,-0.01429909095,866,-0.02017716691,866,-0.02210497297,866,-0.02426079474,866,-0.01995436661,
865.333313,-0.01457838155,865.333313,-0.0187669564,865.333313,-0.01984017901,865.333313,-0.01970730908,865.333313,-0.01995535567,
864.666626,-0.01572765596,864.666626,-0.02046085335,864.666626,-0.02157059684,864.666626,-0.02275995724,864.666626,-0.02326441184,
864,-0.01351514738,864,-0.02114963531,864,-0.02002289519,864,-0.02140306868,864,-0.02110362612,
863.333313,-0.01605278254,863.333313,-0.02098628506,863.333313,-0.02011336014,863.333313,-0.02197067812,863.333313,-0.01990763657,
862.666626,-0.01578477211,862.666626,-0.01953599229,862.666626,-0.0188387949,862.666626,-0.02082095109,862.666626,-0.02135629766,
862,-0.01459695492,862,-0.01979224943,862,-0.02024309151,862,-0.0214172136,862,-0.02051626518,
861.333313,-0.01233362686,861.333313,-0.02138241939,861.333313,-0.02013668977,861.333313,-0.0219166819,861.333313,-0.02070807666,
860.666626,-0.01660255715,860.666626,-0.02082756348,860.666626,-0.01910963468,860.666626,-0.02227739431,860.666626,-0.02261814848,
860,-0.01517232228,860,-0.01896776818,860,-0.02073013969,860,-0.02112902328,860,-0.02281659842,
859.333313,-0.01499085408,859.333313,-0.01950431429,859.333313,-0.01936148852,859.333313,-0.02170634642,859.333313,-0.02057566866,
858.666626,-0.01418390684,858.666626,-0.0198130738,858.666626,-0.02234737575,858.666626,-0.0210745763,858.666626,-0.02214890905,
858,-0.01627913862,858,-0.02151073888,858,-0.02117922157,858,-0.02355977148,858,-0.0222700648,
857.333313,-0.01562988013,857.333313,-0.02202953771,857.333313,-0.02194597013,857.333313,-0.02383547463,857.333313,-0.02406393364,
856.666626,-0.01414502133,856.666626,-0.02088643052,856.666626,-0.02106851153,856.666626,-0.02191289142,856.666626,-0.02117103525,
856,-0.01695013233,856,-0.02158419415,856,-0.02188877016,856,-0.02409332246,856,-0.02332903445,
855.333313,-0.01552069373,855.333313,-0.02140430175,855.333313,-0.02090942301,855.333313,-0.02221355028,855.333313,-0.02136117779,
854.666626,-0.01599106006,854.666626,-0.02014771104,854.666626,-0.0217506662,854.666626,-0.02156532556,854.666626,-0.02209842764,
854,-0.01523411088,854,-0.01995125227,854,-0.01910492778,854,-0.02136295103,854,-0.02154832892,
853.333313,-0.01465532184,853.333313,-0.01915630139,853.333313,-0.01932603493,853.333313,-0.02145027928,853.333313,-0.02119642869,
852.666626,-0.01414532214,852.666626,-0.01997869462,852.666626,-0.01958850212,852.666626,-0.02135757916,852.666626,-0.02191894688,
852,-0.01429648604,852,-0.02119322307,852,-0.02114613354,852,-0.02147826739,852,-0.02195906267,
851.333313,-0.01473414991,851.333313,-0.02035114542,851.333313,-0.02007989399,851.333313,-0.02222894505,851.333313,-0.02285741828,
