imine undoped,,imine 10 min iodine doping,,imine 1 min iodine doping,,imine 30 min iodine doping,,imine 30 min iodine doping1,,imine 1 hr iodine doping,,imine 1 hr iodine doping1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1180.666626,-0.01711301506,1180.666626,-0.008313191123,1180.666626,0.003422946436,1180.666626,0.01605029963,1180.666626,-0.009960394353,1180.666626,-0.01065091416,1180.666626,-0.005107539706,
1180,-0.01713078283,1180,-0.008403182961,1180,0.003390960395,1180,0.01596247405,1180,-0.009936461225,1180,-0.01055749692,1180,-0.005077350419,
1179.333374,-0.01693673804,1179.333374,-0.008370784111,1179.333374,0.003489430994,1179.333374,0.01609881222,1179.333374,-0.009939193726,1179.333374,-0.01054506656,1179.333374,-0.00523467036,
1178.666626,-0.01695770025,1178.666626,-0.008344121277,1178.666626,0.003515317803,1178.666626,0.0159694571,1178.666626,-0.009808320552,1178.666626,-0.01041988563,1178.666626,-0.005173642188,
1178,-0.01692633145,1178,-0.008354685269,1178,0.003559292294,1178,0.01605599374,1178,-0.009877000935,1178,-0.01038869843,1178,-0.00514437817,
1177.333374,-0.01698856801,1177.333374,-0.008451471105,1177.333374,0.003573647002,1177.333374,0.01599206962,1177.333374,-0.009934184141,1177.333374,-0.01050812751,1177.333374,-0.005173437297,
1176.666626,-0.01712067984,1176.666626,-0.008336554281,1176.666626,0.003559944686,1176.666626,0.01594649628,1176.666626,-0.009973094799,1176.666626,-0.01059675589,1176.666626,-0.005076992325,
1176,-0.01702505909,1176,-0.008323247544,1176,0.003448933596,1176,0.01593588851,1176,-0.009782252833,1176,-0.01055683941,1176,-0.00500442693,
1175.333374,-0.01710744016,1175.333374,-0.008283985779,1175.333374,0.003514978569,1175.333374,0.01587839983,1175.333374,-0.009730112739,1175.333374,-0.01055466663,1175.333374,-0.004967474379,
1174.666626,-0.01707309671,1174.666626,-0.00837149471,1174.666626,0.003446089569,1174.666626,0.01578094438,1174.666626,-0.009944607504,1174.666626,-0.01052788552,1174.666626,-0.005181673914,
1174,-0.01693116128,1174,-0.008371545933,1174,0.003524268977,1174,0.01597364619,1174,-0.009791010059,1174,-0.0103271259,1174,-0.00503912475,
1173.333374,-0.01695665345,1173.333374,-0.008356056176,1173.333374,0.003367846133,1173.333374,0.01598285697,1173.333374,-0.00979237631,1173.333374,-0.01060807239,1173.333374,-0.005101860501,
1172.666626,-0.01696800627,1172.666626,-0.00831237901,1172.666626,0.003569836495,1172.666626,0.01586996764,1172.666626,-0.009669155814,1172.666626,-0.01043798029,1172.666626,-0.005035747308,
1172,-0.01695222221,1172,-0.008246752433,1172,0.003582051257,1172,0.01602225751,1172,-0.009683889337,1172,-0.0104588028,1172,-0.005138596985,
1171.333374,-0.01705064625,1171.333374,-0.008336401545,1171.333374,0.003406770527,1171.333374,0.01588932611,1171.333374,-0.009923102334,1171.333374,-0.01062595751,1171.333374,-0.005249964539,
1170.666626,-0.01702043042,1170.666626,-0.008353364654,1170.666626,0.003516465891,1170.666626,0.01579482295,1170.666626,-0.009760182351,1170.666626,-0.01040972583,1170.666626,-0.005174870137,
1170,-0.01714954525,1170,-0.00829043705,1170,0.003433461301,1170,0.01572755538,1170,-0.009894966148,1170,-0.01052844152,1170,-0.005180548411,
1169.333374,-0.0168727506,1169.333374,-0.008208500221,1169.333374,0.003570149653,1169.333374,0.01615267619,1169.333374,-0.009638673626,1169.333374,-0.01033364795,1169.333374,-0.005043116398,
1168.666626,-0.01676537097,1168.666626,-0.008197069168,1168.666626,0.003435548628,1168.666626,0.01606499217,1168.666626,-0.009754613973,1168.666626,-0.01046956796,1168.666626,-0.005085077137,
1168,-0.01705522649,1168,-0.008256099187,1168,0.003438914428,1168,0.01598984003,1168,-0.009777798317,1168,-0.01029335428,1168,-0.005143355113,
1167.333374,-0.0168879889,1167.333374,-0.008236288093,1167.333374,0.003545460058,1167.333374,0.0159315113,1167.333374,-0.009720189497,1167.333374,-0.01035038102,1167.333374,-0.004885010421,
1166.666626,-0.01709524542,1166.666626,-0.008120907471,1166.666626,0.003517770907,1166.666626,0.01588511094,1166.666626,-0.009803410619,1166.666626,-0.01035710424,1166.666626,-0.005174665246,
1166,-0.01669607684,1166,-0.008210532367,1166,0.003714243649,1166,0.01616183855,1166,-0.009652750567,1166,-0.01020774897,1166,-0.004819017835,
1165.333374,-0.01692767628,1165.333374,-0.008411916904,1165.333374,0.003533846466,1165.333374,0.01591440663,1165.333374,-0.009772533551,1165.333374,-0.01039789803,1165.333374,-0.005187250208,
1164.666626,-0.01675306633,1164.666626,-0.008269103244,1164.666626,0.003541049547,1164.666626,0.0160495732,1164.666626,-0.009674523026,1164.666626,-0.01012167148,1164.666626,-0.004984518047,
1164,-0.0169356931,1164,-0.008003870025,1164,0.003564720973,1164,0.01613002829,1164,-0.009583832696,1164,-0.01011742279,1164,-0.004908046685,
1163.333374,-0.01679371297,1163.333374,-0.008203622885,1163.333374,0.003706959309,1163.333374,0.01605397835,1163.333374,-0.009626521729,1163.333374,-0.01012450363,1163.333374,-0.004930262454,
1162.666626,-0.01674763672,1162.666626,-0.00789040979,1162.666626,0.003679834073,1162.666626,0.01615638472,1162.666626,-0.009486538358,1162.666626,-0.01001503691,1162.666626,-0.004709946457,
1162,-0.01696133427,1162,-0.008211497217,1162,0.003614338581,1162,0.01610249281,1162,-0.009608747438,1162,-0.01022848208,1162,-0.00494961068,
1161.333374,-0.01708086208,1161.333374,-0.008304658346,1161.333374,0.003368054982,1161.333374,0.01593446545,1161.333374,-0.009695736691,1161.333374,-0.01038480643,1161.333374,-0.004941574764,
1160.666626,-0.01694156788,1160.666626,-0.008051338606,1160.666626,0.003565347288,1160.666626,0.0161755681,1160.666626,-0.009621862322,1160.666626,-0.01021669898,1160.666626,-0.004962458275,
1160,-0.01682394557,1160,-0.00825594645,1160,0.003632297274,1160,0.01604089886,1160,-0.009727074765,1160,-0.01018514391,1160,-0.00497407699,
1159.333374,-0.01697119325,1159.333374,-0.008167602122,1159.333374,0.003660698654,1159.333374,0.01599703729,1159.333374,-0.009710519575,1159.333374,-0.01022731885,1159.333374,-0.004967576358,
1158.666626,-0.01689296961,1158.666626,-0.008093518205,1158.666626,0.003617757931,1158.666626,0.01596669108,1158.666626,-0.009540987201,1158.666626,-0.01007027924,1158.666626,-0.004847893957,
1158,-0.01684794948,1158,-0.007908508182,1158,0.003812578507,1158,0.01617680304,1158,-0.009453156032,1158,-0.01002793759,1158,-0.004819375928,
1157.333374,-0.01677144691,1157.333374,-0.008103427477,1157.333374,0.003595571499,1157.333374,0.0161293298,1157.333374,-0.009595124982,1157.333374,-0.009975017048,1157.333374,-0.004714504816,
1156.666626,-0.01682011038,1156.666626,-0.008083151653,1156.666626,0.003738446627,1156.666626,0.01615987718,1156.666626,-0.009582819417,1156.666626,-0.009928921238,1156.666626,-0.00468823174,
1156,-0.01662303694,1156,-0.007941449992,1156,0.003763721557,1156,0.01626682281,1156,-0.009470531717,1156,-0.00994749181,1156,-0.004554332234,
1155.333374,-0.01683788933,1155.333374,-0.008167957887,1155.333374,0.003519675927,1155.333374,0.01608497836,1155.333374,-0.009634673595,1155.333374,-0.01003618352,1155.333374,-0.004623489454,
1154.666626,-0.01679316536,1154.666626,-0.008266258985,1154.666626,0.003640572075,1154.666626,0.01618397795,1154.666626,-0.009590314701,1154.666626,-0.01008287538,1154.666626,-0.004682546481,
1154,-0.01679605432,1154,-0.008084625937,1154,0.003763773711,1154,0.01605757885,1154,-0.009626977146,1154,-0.009988222271,1154,-0.004788193852,
1153.333374,-0.01673707739,1153.333374,-0.008137827739,1153.333374,0.003674403997,1153.333374,0.01617594436,1153.333374,-0.009388056584,1153.333374,-0.01010234933,1153.333374,-0.00476591941,
1152.666626,-0.01670977846,1152.666626,-0.008152156137,1152.666626,0.003666128498,1152.666626,0.01613491774,1152.666626,-0.009534149431,1152.666626,-0.01001918595,1152.666626,-0.004853576887,
1152,-0.01669712365,1152,-0.007825431414,1152,0.003781503765,1152,0.0163544938,1152,-0.00931874197,1152,-0.009755524807,1152,-0.004575592931,
1151.333374,-0.01690989919,1151.333374,-0.008141333237,1151.333374,0.003631879576,1151.333374,0.01616114005,1151.333374,-0.009333132766,1151.333374,-0.009988121688,1151.333374,-0.004699959885,
1150.666626,-0.01680516824,1150.666626,-0.008093213663,1150.666626,0.003645453602,1150.666626,0.0161336828,1150.666626,-0.009362622164,1150.666626,-0.01001549233,1150.666626,-0.004615140148,
1150,-0.01684506238,1150,-0.008134423755,1150,0.003686360782,1150,0.01627010107,1150,-0.009601556696,1150,-0.01000835933,1150,-0.004746562801,
1149.333374,-0.01683664508,1149.333374,-0.008020743728,1149.333374,0.003580224235,1149.333374,0.01612024941,1149.333374,-0.009397125803,1149.333374,-0.009999100119,1149.333374,-0.004777901806,
1148.666626,-0.0167948585,1148.666626,-0.008194579743,1148.666626,0.003543946426,1148.666626,0.01621845178,1148.666626,-0.009614367969,1148.666626,-0.01007660292,1148.666626,-0.004713634029,
1148,-0.01668197848,1148,-0.008037515916,1148,0.003792706179,1148,0.01632320695,1148,-0.009351829998,1148,-0.00985331554,1148,-0.004571597092,
1147.333374,-0.01688515022,1147.333374,-0.008089808747,1147.333374,0.003671297571,1147.333374,0.01621216349,1147.333374,-0.009520271793,1147.333374,-0.00995705463,1147.333374,-0.004707488231,
1146.666626,-0.01681522839,1146.666626,-0.00800981652,1146.666626,0.003711893922,1146.666626,0.01628203318,1146.666626,-0.009460045956,1146.666626,-0.009983415715,1146.666626,-0.004613296129,
1146,-0.01680975035,1146,-0.008070142008,1146,0.003717872547,1146,0.0161867179,1146,-0.009401178919,1146,-0.009870573878,1146,-0.00465396652,
1145.333374,-0.01678514481,1145.333374,-0.007940839976,1145.333374,0.003671662882,1145.333374,0.0162220262,1145.333374,-0.009400925599,1145.333374,-0.01000744849,1145.333374,-0.004662417807,
1144.666626,-0.01670678891,1144.666626,-0.007962698117,1144.666626,0.003765105503,1144.666626,0.01626607031,1144.666626,-0.009387347847,1144.666626,-0.01000805572,1144.666626,-0.004498434719,
1144,-0.01682753116,1144,-0.00813808199,1144,0.003605672624,1144,0.01611933671,1144,-0.009577704594,1144,-0.01011018921,1144,-0.00461201556,
1143.333374,-0.01674046367,1143.333374,-0.007991111837,1143.333374,0.003520093393,1143.333374,0.01626534387,1143.333374,-0.009533237666,1143.333374,-0.01001154631,1143.333374,-0.004798024893,
1142.666626,-0.0166588109,1142.666626,-0.007946888916,1142.666626,0.00391474925,1142.666626,0.01623747684,1142.666626,-0.00929446891,1142.666626,-0.00981338229,1142.666626,-0.004451241344,
