imine undoped,,imine 5 sec TFA,,imine 10 sec TFA,,imine 30 sec TFA,,imine 1 min TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1175.333374,-0.01710744016,1175.333374,-0.007355194539,1175.333374,-0.005604697391,1175.333374,-0.00608096784,1175.333374,-0.00938147027,
1174.666626,-0.01707309671,1174.666626,-0.007356314454,1174.666626,-0.005449403077,1174.666626,-0.006154119503,1174.666626,-0.009399102069,
1174,-0.01693116128,1174,-0.00734531926,1174,-0.005508194212,1174,-0.005977830384,1174,-0.009292796254,
1173.333374,-0.01695665345,1173.333374,-0.007363084238,1173.333374,-0.005564064253,1173.333374,-0.006062333472,1173.333374,-0.009327660315,
1172.666626,-0.01696800627,1172.666626,-0.007252715528,1172.666626,-0.005579755642,1172.666626,-0.006058453117,1172.666626,-0.009164213203,
1172,-0.01695222221,1172,-0.007254905067,1172,-0.005545765627,1172,-0.005990545265,1172,-0.009121478535,
1171.333374,-0.01705064625,1171.333374,-0.007418767083,1171.333374,-0.005552921444,1171.333374,-0.006075301208,1171.333374,-0.009347573854,
1170.666626,-0.01702043042,1170.666626,-0.007415204309,1170.666626,-0.005610216875,1170.666626,-0.00608780887,1170.666626,-0.009298827499,
1170,-0.01714954525,1170,-0.007449863013,1170,-0.005684214178,1170,-0.006133497227,1170,-0.00945178885,
1169.333374,-0.0168727506,1169.333374,-0.007323328406,1169.333374,-0.005532526411,1169.333374,-0.005887794774,1169.333374,-0.009177645668,
1168.666626,-0.01676537097,1168.666626,-0.007167374715,1168.666626,-0.00558527559,1168.666626,-0.006048140116,1168.666626,-0.009222047403,
1168,-0.01705522649,1168,-0.007368378341,1168,-0.00557459332,1168,-0.005995192099,1168,-0.009156051092,
1167.333374,-0.0168879889,1167.333374,-0.007229650859,1167.333374,-0.005502877757,1167.333374,-0.00590618141,1167.333374,-0.009077269584,
1166.666626,-0.01709524542,1166.666626,-0.007285859901,1166.666626,-0.005568408873,1166.666626,-0.005871093366,1166.666626,-0.009276529774,
1166,-0.01669607684,1166,-0.00720444601,1166,-0.005512437318,1166,-0.005762234796,1166,-0.009154631756,
1165.333374,-0.01692767628,1165.333374,-0.007257857826,1165.333374,-0.005739141721,1165.333374,-0.006016739644,1165.333374,-0.009230156429,
1164.666626,-0.01675306633,1164.666626,-0.007286063395,1164.666626,-0.005574338138,1164.666626,-0.006063558627,1164.666626,-0.00905262772,
1164,-0.0169356931,1164,-0.007375911344,1164,-0.005532373209,1164,-0.005907203071,1164,-0.009193308651,
1163.333374,-0.01679371297,1163.333374,-0.007293088827,1163.333374,-0.005555170588,1163.333374,-0.006014901679,1163.333374,-0.00904502254,
1162.666626,-0.01674763672,1162.666626,-0.007089758758,1162.666626,-0.005445159506,1162.666626,-0.005891114939,1162.666626,-0.009061196819,
1162,-0.01696133427,1162,-0.007340992335,1162,-0.005604186095,1162,-0.005975634791,1162,-0.009164922871,
1161.333374,-0.01708086208,1161.333374,-0.007438920904,1161.333374,-0.005752323661,1161.333374,-0.006027359981,1161.333374,-0.009281698614,
1160.666626,-0.01694156788,1160.666626,-0.007229548879,1160.666626,-0.005498635117,1160.666626,-0.005956382956,1160.666626,-0.009015815333,
1160,-0.01682394557,1160,-0.007258367259,1160,-0.00545170391,1160,-0.006037061103,1160,-0.009237810038,
1159.333374,-0.01697119325,1159.333374,-0.007192938123,1159.333374,-0.005484985653,1159.333374,-0.006103124004,1159.333374,-0.009251189418,
1158.666626,-0.01689296961,1158.666626,-0.007118229754,1158.666626,-0.005482634064,1158.666626,-0.006099244114,1158.666626,-0.009100642055,
1158,-0.01684794948,1158,-0.007166967262,1158,-0.005299935117,1158,-0.005869305227,1158,-0.008986454457,
