FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1138,0.0008443144616,1138,0.02988277003,1138,0.1100629494,1138,0.2174462974,1138,0.2860581577,
1137.333374,0.0008734419825,1137.333374,0.02990498208,1137.333374,0.1101445705,1137.333374,0.2173504829,1137.333374,0.2857990265,
1136.666626,0.0008019884117,1136.666626,0.02984397672,1136.666626,0.1101065427,1136.666626,0.2174181193,1136.666626,0.2857530117,
1136,0.000849657401,1136,0.02988817729,1136,0.1101043746,1136,0.2172282934,1136,0.2851880193,
1135.333374,0.0008122323779,1135.333374,0.02990026772,1135.333374,0.1101507768,1135.333374,0.217307061,1135.333374,0.2851524353,
1134.666626,0.0009170460398,1134.666626,0.02999264933,1134.666626,0.1103694662,1134.666626,0.217551887,1134.666626,0.2852936089,
1134,0.0009253731114,1134,0.03004130162,1134,0.1103978381,1134,0.2176604122,1134,0.2852572501,
1133.333374,0.0008708740934,1133.333374,0.03003569879,1133.333374,0.1105004847,1133.333374,0.2177703232,1133.333374,0.2852538526,
1132.666626,0.0007784411428,1132.666626,0.02990157157,1132.666626,0.11020796,1132.666626,0.2173262686,1132.666626,0.2846012712,
1132,0.0008427064167,1132,0.02992544882,1132,0.1104300171,1132,0.2175356597,1132,0.2846772075,
1131.333374,0.0007966979756,1131.333374,0.029911194,1131.333374,0.1104838625,1131.333374,0.2175127268,1131.333374,0.2844797075,
1130.666626,0.0007671606727,1130.666626,0.02989300154,1130.666626,0.1104212329,1130.666626,0.2174160182,1130.666626,0.2842210829,
1130,0.0008174970862,1130,0.02989172749,1130,0.1105055958,1130,0.2174213231,1130,0.28404814,
1129.333374,0.000771309773,1129.333374,0.02995678782,1129.333374,0.1106198579,1129.333374,0.2175449729,1129.333374,0.2841756642,
1128.666626,0.0007546358393,1128.666626,0.02991782129,1128.666626,0.1105544791,1128.666626,0.2174539119,1128.666626,0.2838555574,
1128,0.0007226122543,1128,0.02991294116,1128,0.1105558798,1128,0.2174766213,1128,0.2837807238,
1127.333374,0.0007852614508,1127.333374,0.02996366471,1127.333374,0.1106376275,1127.333374,0.2175227553,1127.333374,0.2836885452,
1126.666626,0.0006536464207,1126.666626,0.02984217554,1126.666626,0.1104862615,1126.666626,0.217191577,1126.666626,0.283223331,
1126,0.0006406581961,1126,0.02980338596,1126,0.1104132906,1126,0.2171781361,1126,0.283017993,
1125.333374,0.0006104056956,1125.333374,0.02990301326,1125.333374,0.1106018275,1125.333374,0.2173653394,1125.333374,0.2830191851,
1124.666626,0.0006322329282,1124.666626,0.02988695726,1124.666626,0.1105525419,1124.666626,0.217294082,1124.666626,0.2829470336,
1124,0.0005099162809,1124,0.02980804443,1124,0.1104943454,1124,0.2171398103,1124,0.2826174498,
1123.333374,0.0004812537227,1123.333374,0.0297961235,1123.333374,0.1103768423,1123.333374,0.2169220001,1123.333374,0.2822375596,
1122.666626,0.0005177172134,1122.666626,0.02975115553,1122.666626,0.1103766114,1122.666626,0.2169501036,1122.666626,0.2820916772,
1122,0.0003587205429,1122,0.02967731282,1122,0.1104047447,1122,0.2171595246,1122,0.282171309,
1121.333374,0.0004288315249,1121.333374,0.02972867526,1121.333374,0.1104004085,1121.333374,0.2169546336,1121.333374,0.2818736434,
1120.666626,0.0003423992021,1120.666626,0.02968219109,1120.666626,0.1102731228,1120.666626,0.2168304622,1120.666626,0.2816188335,
1120,0.0003705603594,1120,0.02961473353,1120,0.1102479622,1120,0.2167657763,1120,0.2813744545,
1119.333374,0.0003131777921,1119.333374,0.02963670902,1119.333374,0.1102162302,1119.333374,0.2166652381,1119.333374,0.2812037766,
1118.666626,0.0004087764537,1118.666626,0.02974891104,1118.666626,0.1104682386,1118.666626,0.2168566436,1118.666626,0.2812875211,
1118,0.0002843468974,1118,0.02965597063,1118,0.1103007197,1118,0.216631636,1118,0.280908525,
1117.333374,0.0003777369566,1117.333374,0.02965644188,1117.333374,0.1102899686,1117.333374,0.2165466547,1117.333374,0.2807636857,
1116.666626,0.0003645238176,1116.666626,0.02976257727,1116.666626,0.1104230061,1116.666626,0.2166340351,1116.666626,0.280626446,
1116,0.0003698867513,1116,0.02972992137,1116,0.1103928611,1116,0.216552794,1116,0.2804473639,
1115.333374,0.000391909125,1115.333374,0.02977843583,1115.333374,0.11044617,1115.333374,0.2165435851,1115.333374,0.280374825,
1114.666626,0.0003265189007,1114.666626,0.02969923802,1114.666626,0.1103454381,1114.666626,0.2164554596,1114.666626,0.2801313698,
1114,0.0004346098285,1114,0.02978137322,1114,0.110426046,1114,0.2164016366,1114,0.2799965441,
1113.333374,0.0004205658042,1113.333374,0.02978231572,1113.333374,0.1104400307,1113.333374,0.2164080292,1113.333374,0.2798394859,
1112.666626,0.0004386520886,1112.666626,0.02982578799,1112.666626,0.1105205193,1112.666626,0.2164572477,1112.666626,0.2797451317,
1112,0.0004565318231,1112,0.02981084399,1112,0.110483028,1112,0.2163547724,1112,0.2795466483,
1111.333374,0.0004436790769,1111.333374,0.02987406217,1111.333374,0.1104939431,1111.333374,0.2163434476,1111.333374,0.279425323,
1110.666626,0.0004986946587,1110.666626,0.02988942526,1110.666626,0.1105261594,1110.666626,0.2163139284,1110.666626,0.2792875469,
1110,0.0004747491912,1110,0.02992270328,1110,0.1105847955,1110,0.2162993103,1110,0.2791434526,
1109.333374,0.0005456564249,1109.333374,0.02995784022,1109.333374,0.110607639,1109.333374,0.2162706107,1109.333374,0.2790174484,
1108.666626,0.0005254663993,1108.666626,0.02997869812,1108.666626,0.1106216311,1108.666626,0.2162413001,1108.666626,0.2788312435,
1108,0.0005360148498,1108,0.03001433983,1108,0.1106386632,1108,0.2162234634,1108,0.2787151635,
1107.333374,0.0005915086949,1107.333374,0.03003375791,1107.333374,0.1106743962,1107.333374,0.2162080854,1107.333374,0.2785867453,
1106.666626,0.0005281099584,1106.666626,0.02999775298,1106.666626,0.1106131822,1106.666626,0.2160726786,1106.666626,0.2783408761,
1106,0.0005820475635,1106,0.03004657291,1106,0.1106426716,1106,0.2161112875,1106,0.278270334,
1105.333374,0.0005814773031,1105.333374,0.03007314913,1105.333374,0.1106369272,1105.333374,0.2160559893,1105.333374,0.2781148553,
1104.666626,0.0005850025336,1104.666626,0.03007184528,1104.666626,0.1106195897,1104.666626,0.2160361111,1104.666626,0.2779245675,
1104,0.0005841212114,1104,0.0301417876,1104,0.1105998531,1104,0.2159763426,1104,0.2778034806,
1103.333374,0.0005975224776,1103.333374,0.03024174273,1103.333374,0.1105775833,1103.333374,0.2159311473,1103.333374,0.2776426375,
1102.666626,0.000532723323,1102.666626,0.02996516228,1102.666626,0.1104416326,1102.666626,0.2157767713,1102.666626,0.2773637772,
1102,0.0006846278557,1102,0.03007542342,1102,0.1105360761,1102,0.2158581167,1102,0.277338028,
1101.333374,0.0006145273801,1101.333374,0.03016975708,1101.333374,0.11072734,1101.333374,0.2158354372,1101.333374,0.2771927714,
1100.666626,0.0006378584076,1100.666626,0.03017056175,1100.666626,0.1104962453,1100.666626,0.2159411013,1100.666626,0.277066052,
1100,0.0005779780331,1100,0.03017838672,1100,0.1104604229,1100,0.2156808823,1100,0.2768467665,
1099.333374,0.0006278259098,1099.333374,0.03018962592,1099.333374,0.1104402617,1099.333374,0.2156577855,1099.333374,0.2766728699,
1098.666626,0.0005848470028,1098.666626,0.03020169586,1098.666626,0.1103776768,1098.666626,0.2155717909,1098.666626,0.2764618397,
1098,0.0006716386997,1098,0.03021676466,1098,0.1103919968,1098,0.2155055851,1098,0.2763015628,
1097.333374,0.0005688541569,1097.333374,0.03012697212,1097.333374,0.1102928445,1097.333374,0.2154319137,1097.333374,0.276094079,
1096.666626,0.0006328551099,1096.666626,0.03019600734,1096.666626,0.1103666946,1096.666626,0.2154827565,1096.666626,0.2759785056,
1096,0.0006166530657,1096,0.03025800548,1096,0.110367395,1096,0.2154230326,1096,0.2758068442,
1095.333374,0.0006584165967,1095.333374,0.03024940193,1095.333374,0.1103900969,1095.333374,0.2153131515,1095.333374,0.275642544,
1094.666626,0.0006409692578,1094.666626,0.03019215167,1094.666626,0.1103185043,1094.666626,0.2152233273,1094.666626,0.2754546702,
1094,0.0006414877716,1094,0.0302546192,1094,0.1102992818,1094,0.2152275294,1094,0.2753017843,
1093.333374,0.000695491326,1093.333374,0.03027993254,1093.333374,0.1102984473,1093.333374,0.2151759863,1093.333374,0.2752599716,
1092.666626,0.0006992767449,1092.666626,0.03027565777,1092.666626,0.1102540046,1092.666626,0.2151112109,1092.666626,0.2748993337,
1092,0.0006739720702,1092,0.03028861992,1092,0.1102477983,1092,0.2150387466,1092,0.2747797966,
1091.333374,0.0006717424258,1091.333374,0.03032317571,1091.333374,0.1102056205,1091.333374,0.2149841189,1091.333374,0.2745875418,
1090.666626,0.000665390573,1090.666626,0.03033019975,1090.666626,0.1101481766,1090.666626,0.2148808539,1090.666626,0.2744432688,
1090,0.0006534908316,1090,0.03033744358,1090,0.1101794988,1090,0.2148443907,1090,0.2742339373,
1089.333374,0.000668449793,1089.333374,0.03036042862,1089.333374,0.1101827025,1089.333374,0.2147956491,1089.333374,0.2741243839,
1088.666626,0.0006412285147,1088.666626,0.03033436276,1088.666626,0.1101417691,1088.666626,0.2147158682,1088.666626,0.2739997208,
1088,0.00065255753,1088,0.03034088574,1088,0.11010544,1088,0.214641422,1088,0.2738256454,
1087.333374,0.00064789108,1087.333374,0.03035454452,1087.333374,0.1101075113,1087.333374,0.2145353109,1087.333374,0.2736101151,
1086.666626,0.0006540612085,1086.666626,0.03035037965,1086.666626,0.1100755259,1086.666626,0.2145090103,1086.666626,0.2734808624,
1086,0.0006673090393,1086,0.03040387668,1086,0.1100631133,1086,0.2144641727,1086,0.273365289,
1085.333374,0.0007318171556,1085.333374,0.03040234931,1085.333374,0.1100796908,1085.333374,0.2143937349,1085.333374,0.2732364833,
1084.666626,0.0006624868838,1084.666626,0.0303536281,1084.666626,0.1099844798,1084.666626,0.2142521888,1084.666626,0.2730146945,
1084,0.0006748535088,1084,0.03045362979,1084,0.1099940464,1084,0.2142302245,1084,0.2728657126,
1083.333374,0.0006451171939,1083.333374,0.03037983365,1083.333374,0.1098695174,1083.333374,0.2141460478,1083.333374,0.2727076113,
1082.666626,0.0007077032933,1082.666626,0.03042275645,1082.666626,0.1099347919,1082.666626,0.2141103595,1082.666626,0.2725972235,
1082,0.0006717942306,1082,0.03037888929,1082,0.1098827869,1082,0.2139890045,1082,0.2724344134,
1081.333374,0.0006455837865,1081.333374,0.03040332161,1081.333374,0.1098277122,1081.333374,0.2139293402,1081.333374,0.2722139359,
1080.666626,0.0006415914395,1080.666626,0.03038355336,1080.666626,0.1097760126,1080.666626,0.2138046473,1080.666626,0.272013694,
1080,0.0006251039449,1080,0.03037866764,1080,0.1097518131,1080,0.2137090266,1080,0.2718272507,
1079.333374,0.0006641980144,1079.333374,0.03043780476,1079.333374,0.1097706482,1079.333374,0.2136882842,1079.333374,0.2716944814,
1078.666626,0.0005997517728,1078.666626,0.03039285354,1078.666626,0.1096994281,1078.666626,0.2135771066,1078.666626,0.271451056,
1078,0.000634047552,1078,0.03039216064,1078,0.109697558,1078,0.2135464996,1078,0.271337986,
1077.333374,0.0006816721871,1077.333374,0.0305001419,1077.333374,0.1097205207,1077.333374,0.2134951651,1077.333374,0.2711812258,
1076.666626,0.0005812699674,1076.666626,0.03037397563,1076.666626,0.1096244231,1076.666626,0.2133380473,1076.666626,0.2709437311,
1076,0.0006425247411,1076,0.03046287782,1076,0.1096272171,1076,0.2133133411,1076,0.2708079517,
1075.333374,0.000589875679,1075.333374,0.03034277447,1075.333374,0.1095796749,1075.333374,0.2131726295,1075.333374,0.2706115544,
1074.666626,0.0006011515507,1074.666626,0.0304016266,1074.666626,0.1095968634,1074.666626,0.2131326646,1074.666626,0.2703998387,
1074,0.00060501392,1074,0.0304349158,1074,0.109564051,1074,0.2130029052,1074,0.2701885402,
1073.333374,0.0006088503869,1073.333374,0.03044804931,1073.333374,0.109648712,1073.333374,0.2130803615,1073.333374,0.2701041996,
1072.666626,0.0006392583018,1072.666626,0.03043502755,1072.666626,0.1096326187,1072.666626,0.2129405588,1072.666626,0.2699083984,
1072,0.0005616225535,1072,0.03034968674,1072,0.1095564514,1072,0.2127774805,1072,0.2697227895,
1071.333374,0.0007173746126,1071.333374,0.03051399812,1071.333374,0.1096637398,1071.333374,0.2128490955,1071.333374,0.2696024776,
1070.666626,0.0006066728965,1070.666626,0.03042589314,1070.666626,0.1094882339,1070.666626,0.2126755863,1070.666626,0.26931566,
1070,0.0005971596111,1070,0.03044074774,1070,0.109561421,1070,0.2125750631,1070,0.2691323459,
1069.333374,0.0006355511723,1069.333374,0.03041301109,1069.333374,0.1095096171,1069.333374,0.2125563473,1069.333374,0.2689508796,
1068.666626,0.0006033030222,1068.666626,0.03047056869,1068.666626,0.109479107,1068.666626,0.2124529034,1068.666626,0.2687558234,
1068,0.0006725720596,1068,0.03049783595,1068,0.1094829738,1068,0.212367788,1068,0.26855883,
1067.333374,0.0006733498303,1067.333374,0.03054982424,1067.333374,0.1094325483,1067.333374,0.212320894,1067.333374,0.2683873773,
1066.666626,0.0006712757167,1066.666626,0.0304798428,1066.666626,0.1093983799,1066.666626,0.2122269571,1066.666626,0.2681927383,
1066,0.0006380139384,1066,0.03050069697,1066,0.1093522608,1066,0.2121443003,1066,0.2680034041,
1065.333374,0.000657431432,1065.333374,0.03059951216,1065.333374,0.109341003,1065.333374,0.2121046036,1065.333374,0.2678022683,
1064.666626,0.0006310404278,1064.666626,0.03057379276,1064.666626,0.109273985,1064.666626,0.211986199,1064.666626,0.267585814,
1064,0.0006713275798,1064,0.03059159592,1064,0.1092571691,1064,0.2119028717,1064,0.2673790753,
1063.333374,0.0006028882926,1063.333374,0.03051358275,1063.333374,0.1091996804,1063.333374,0.2117762119,1063.333374,0.267139554,
1062.666626,0.0006216302281,1062.666626,0.03050597385,1062.666626,0.1091639996,1062.666626,0.2117031664,1062.666626,0.266938746,
1062,0.0006350845215,1062,0.03050658479,1062,0.1090941727,1062,0.2115874887,1062,0.2667243481,
1061.333374,0.0006397767575,1061.333374,0.03057507053,1061.333374,0.1090843603,1061.333374,0.2115205377,1061.333374,0.2664798796,
1060.666626,0.0005753341829,1060.666626,0.0305516012,1060.666626,0.1090399027,1060.666626,0.2114558369,1060.666626,0.2663160861,
1060,0.0006288110162,1060,0.03058792837,1060,0.1089922935,1060,0.2113171071,1060,0.2661755979,
1059.333374,0.0006175863091,1059.333374,0.0305466298,1059.333374,0.1089488715,1059.333374,0.2112523019,1059.333374,0.2659024298,
1058.666626,0.0005939971888,1058.666626,0.0305239968,1058.666626,0.1089034006,1058.666626,0.2111249268,1058.666626,0.2656546533,
1058,0.0005735197337,1058,0.03050886095,1058,0.1088760942,1058,0.2110381722,1058,0.2654646635,
1057.333374,0.0006362251588,1057.333374,0.03057984635,1057.333374,0.1088535115,1057.333374,0.2109328955,1057.333374,0.2652618289,
1056.666626,0.000620489649,1056.666626,0.03055965528,1056.666626,0.1088158265,1056.666626,0.2108615935,1056.666626,0.2650941312,
1056,0.0006437172415,1056,0.03057462536,1056,0.1087401062,1056,0.2107754499,1056,0.2648309767,
1055.333374,0.0006290184101,1055.333374,0.0305857081,1055.333374,0.1087420359,1055.333374,0.2107079923,1055.333374,0.2646418214,
1054.666626,0.0006499132141,1054.666626,0.0305744037,1054.666626,0.1087375805,1054.666626,0.2105666399,1054.666626,0.2644044161,
1054,0.0006122203195,1054,0.03053043969,1054,0.1086795256,1054,0.210439384,1054,0.2641972303,
1053.333374,0.0006939875311,1053.333374,0.03060001135,1053.333374,0.1086851805,1053.333374,0.2103980631,1053.333374,0.2640687227,
1052.666626,0.0006559278117,1052.666626,0.03056193329,1052.666626,0.108660616,1052.666626,0.2103417665,1052.666626,0.2638190687,
1052,0.0006230819272,1052,0.03051763587,1052,0.1085824594,1052,0.2101319432,1052,0.2635602057,
1051.333374,0.0006584165967,1051.333374,0.03053652123,1051.333374,0.1085146591,1051.333374,0.2101085186,1051.333374,0.2633817792,
1050.666626,0.0006900724838,1050.666626,0.03057576343,1050.666626,0.1085033566,1050.666626,0.2099629939,1050.666626,0.2631872296,
1050,0.0006033548852,1050,0.03050094657,1050,0.1084915251,1050,0.2098205388,1050,0.2629313469,
1049.333374,0.0006360177649,1049.333374,0.03048253618,1049.333374,0.1084175929,1049.333374,0.2097526938,1049.333374,0.262697041,
1048.666626,0.0006993285497,1048.666626,0.03052327409,1048.666626,0.1084125414,1048.666626,0.2096339315,1048.666626,0.2625319064,
1048,0.0006199711934,1048,0.03045274131,1048,0.1083110794,1048,0.209502697,1048,0.262283355,
1047.333374,0.000600633095,1047.333374,0.0304504931,1047.333374,0.1082751751,1047.333374,0.2093457133,1047.333374,0.2620534897,
1046.666626,0.0005745047238,1046.666626,0.03040518053,1046.666626,0.1082641482,1046.666626,0.2092732489,1046.666626,0.2617923915,
1046,0.0006633683806,1046,0.03044938296,1046,0.1082687303,1046,0.2091574967,1046,0.2616302967,
1045.333374,0.0006884650211,1045.333374,0.03041811846,1045.333374,0.108181186,1045.333374,0.2090676427,1045.333374,0.2613912523,
1044.666626,0.0006252854364,1044.666626,0.03037608601,1044.666626,0.108115077,1044.666626,0.2089150846,1044.666626,0.2611661851,
1044,0.0006844722666,1044,0.03042319976,1044,0.1080724448,1044,0.2088524103,1044,0.2609411776,
1043.333374,0.0006349808536,1043.333374,0.03034777008,1043.333374,0.1079992801,1043.333374,0.2087107748,1043.333374,0.2606932223,
1042.666626,0.0006439764984,1042.666626,0.03036287241,1042.666626,0.1079489216,1042.666626,0.2085943073,1042.666626,0.2604613602,
1042,0.0006795202498,1042,0.03033513948,1042,0.1079303026,1042,0.2085337937,1042,0.2602451444,
1041.333374,0.0006764609716,1041.333374,0.03038616292,1041.333374,0.1079071388,1041.333374,0.2084308416,1041.333374,0.2600520551,
1040.666626,0.0006741794641,1040.666626,0.03036714718,1040.666626,0.107805267,1040.666626,0.2082767636,1040.666626,0.2598515153,
1040,0.0006420580903,1040,0.03030763194,1040,0.1077737138,1040,0.2081491202,1040,0.2595936656,
1039.333374,0.0006768757594,1039.333374,0.03032939509,1039.333374,0.107717149,1039.333374,0.2080629617,1039.333374,0.2593830824,
1038.666626,0.0006661683437,1038.666626,0.03027460352,1038.666626,0.1076557487,1038.666626,0.2078618109,1038.666626,0.259139359,
1038,0.0006585721858,1038,0.03031995706,1038,0.1076357514,1038,0.2078105956,1038,0.2588627636,
1037.333374,0.0006103020278,1037.333374,0.03026924655,1037.333374,0.1074855998,1037.333374,0.2076567858,1037.333374,0.2586328089,
1036.666626,0.000679105462,1036.666626,0.03029217198,1036.666626,0.107498467,1036.666626,0.2075337917,1036.666626,0.2584063709,
1036,0.0006605165545,1036,0.03029727936,1036,0.1074020937,1036,0.2074353993,1036,0.2581681609,
1035.333374,0.0006543204654,1035.333374,0.03024537861,1035.333374,0.1073321849,1035.333374,0.2072423398,1035.333374,0.2578742504,
1034.666626,0.0006615535822,1034.666626,0.03028056957,1034.666626,0.1073056087,1034.666626,0.2071602941,1034.666626,0.2577195466,
1034,0.0006693831529,1034,0.03022675589,1034,0.1071889997,1034,0.2069983333,1034,0.2574001253,
1033.333374,0.0007018176257,1033.333374,0.03025881015,1033.333374,0.1071183607,1033.333374,0.2069094032,1033.333374,0.2571819425,
1032.666626,0.0007052142173,1032.666626,0.03023827262,1032.666626,0.1071026623,1032.666626,0.2067330331,1032.666626,0.2569480538,
1032,0.0006798313698,1032,0.03016834147,1032,0.1069608033,1032,0.2065978497,1032,0.256672442,
1031.333374,0.000694609771,1031.333374,0.03015638329,1031.333374,0.1069044173,1031.333374,0.2064651102,1031.333374,0.2563993037,
1030.666626,0.0006661683437,1030.666626,0.0301755853,1030.666626,0.1068307161,1030.666626,0.2063261718,1030.666626,0.2561589777,
1030,0.000674334995,1030,0.03021329641,1030,0.1068238318,1030,0.206245333,1030,0.2559646368,
1029.333374,0.0006005294272,1029.333374,0.03009065427,1029.333374,0.1066517904,1029.333374,0.2060302943,1029.333374,0.2555890679,
1028.666626,0.0006583129289,1028.666626,0.03013598919,1028.666626,0.1066589653,1028.666626,0.2059234381,1028.666626,0.2554039061,
1028,0.0006393101066,1028,0.03007597849,1028,0.1065704897,1028,0.2057743669,1028,0.2551192045,
1027.333374,0.0006814906956,1027.333374,0.03011401556,1027.333374,0.1065518633,1027.333374,0.2056816965,1027.333374,0.2548956871,
1026.666626,0.000720641634,1026.666626,0.03010724485,1026.666626,0.106476143,1026.666626,0.2055474669,1026.666626,0.2546393573,
1026,0.0006616573082,1026,0.03008715995,1026,0.1064147502,1026,0.2054418921,1026,0.2544507682,
1025.333374,0.0006920947926,1025.333374,0.03009370714,1025.333374,0.1063606143,1025.333374,0.2053019851,1025.333374,0.2540953755,
1024.666626,0.0006556685548,1024.666626,0.03000604734,1024.666626,0.1062534824,1024.666626,0.2051121145,1024.666626,0.2538250089,
1024,0.0006841092836,1024,0.02997190319,1024,0.1061813533,1024,0.2049311996,1024,0.2536301613,
1023.333313,0.0007117999485,1023.333313,0.03001062386,1023.333313,0.1061681286,1023.333313,0.2048449814,1023.333313,0.2534097731,
1022.666626,0.0006763572455,1022.666626,0.02998152748,1022.666626,0.1061084718,1022.666626,0.2046552151,1022.666626,0.253148675,
1022,0.0006625906099,1022,0.02995515056,1022,0.1060356945,1022,0.204486683,1022,0.252866894,
1021.333313,0.0006798832328,1021.333313,0.02990234829,1021.333313,0.1059157327,1021.333313,0.2043105513,1021.333313,0.2525149286,
1020.666626,0.00066839793,1020.666626,0.02992478199,1020.666626,0.1058862656,1020.666626,0.2042350918,1020.666626,0.2523371875,
1020,0.000694506045,1020,0.02990254201,1020,0.1057921946,1020,0.2040655166,1020,0.2520709932,
1019.333313,0.0006847833865,1019.333313,0.0298860427,1019.333313,0.1057381034,1019.333313,0.2038780451,1019.333313,0.2517596483,
1018.666626,0.0006641461514,1018.666626,0.02985024452,1018.666626,0.105657801,1018.666626,0.2036663294,1018.666626,0.2514881492,
1018,0.0006833833177,1018,0.02981514297,1018,0.1055188552,1018,0.2035214603,1018,0.2512165904,
1017.333313,0.0006566018565,1017.333313,0.02979404293,1017.333313,0.1054920554,1017.333313,0.2033618689,1017.333313,0.2509654462,
1016.666626,0.0006814388325,1016.666626,0.02983127907,1016.666626,0.1054117382,1016.666626,0.2032178491,1016.666626,0.2507114708,
1016,0.0006648720591,1016,0.02980912477,1016,0.1053852737,1016,0.2030845731,1016,0.2504139841,
1015.333313,0.0007102442905,1015.333313,0.02983862534,1015.333313,0.1053169444,1015.333313,0.2029583305,1015.333313,0.2502150238,
1014.666626,0.0006556166918,1014.666626,0.02979171462,1014.666626,0.1052712277,1014.666626,0.2028150111,1014.666626,0.2499257028,
1014,0.0006837463006,1014,0.02982312627,1014,0.1051892266,1014,0.2026499957,1014,0.2496453226,
1013.333313,0.0006815944216,1013.333313,0.0297453627,1013.333313,0.1051083356,1013.333313,0.2024395764,1013.333313,0.2493253648,
1012.666626,0.000670497946,1012.666626,0.02971841767,1012.666626,0.1050281525,1012.666626,0.202293545,1012.666626,0.2490375489,
1012,0.0006757350056,1012,0.02973696403,1012,0.1049509123,1012,0.2021417916,1012,0.2487801015,
1011.333313,0.0007496571052,1011.333313,0.02977247536,1011.333313,0.1049127728,1011.333313,0.2019924819,1011.333313,0.2485509217,
1010.666626,0.0007246866007,1010.666626,0.02974860556,1010.666626,0.1048859134,1010.666626,0.2018785477,1010.666626,0.2482526749,
1010,0.0007389997481,1010,0.02973374724,1010,0.1048321649,1010,0.2017009109,1010,0.247984454,
1009.333313,0.0007361214957,1009.333313,0.02967678569,1009.333313,0.1047581285,1009.333313,0.2015729994,1009.333313,0.2476987243,
1008.666626,0.0007508499548,1008.666626,0.02970095538,1008.666626,0.1046872959,1008.666626,0.2013731301,1008.666626,0.2474277765,
1008,0.000720641634,1008,0.02964225225,1008,0.1046049148,1008,0.2012452483,1008,0.2471315414,
1007.333313,0.0006847833865,1007.333313,0.02963928692,1007.333313,0.1045349613,1007.333313,0.2010343522,1007.333313,0.246829465,
1006.666626,0.0007486976683,1006.666626,0.02968975715,1006.666626,0.1044472158,1006.666626,0.2009285837,1006.666626,0.2465960532,
1006,0.0007491644355,1006,0.02962914295,1006,0.10441719,1006,0.2007212937,1006,0.246285364,
1005.333313,0.0007913297741,1005.333313,0.02964513563,1005.333313,0.104376398,1005.333313,0.2005813867,1005.333313,0.2461069375,
1004.666626,0.0007119555376,1004.666626,0.02961625718,1004.666626,0.1043122113,1004.666626,0.2003734112,1004.666626,0.245724842,
1004,0.0008116099634,1004,0.02964200266,1004,0.1042296067,1004,0.200278312,1004,0.2454755008,
1003.333313,0.000719863805,1003.333313,0.02958923765,1003.333313,0.1040442809,1003.333313,0.2000225037,1003.333313,0.2451283187,
1002.666626,0.000719811942,1002.666626,0.02951835841,1002.666626,0.1040156335,1002.666626,0.1998511702,1002.666626,0.2448230386,
1002,0.0007025954546,1002,0.02956887148,1002,0.1039311066,1002,0.1996406168,1002,0.2445718944,
1001.333313,0.0007514204481,1001.333313,0.02955858968,1001.333313,0.1038866192,1001.333313,0.1995383203,1001.333313,0.2443442792,
1000.666626,0.0007677830872,1000.666626,0.02954673208,1000.666626,0.1038171425,1000.666626,0.1993509829,1000.666626,0.2440465838,
1000,0.0007197082159,1000,0.02953054942,1000,0.1037131399,1000,0.1991697103,1000,0.2437250167,
999.333313,0.0007868173998,999.333313,0.02954662032,999.333313,0.1037002206,999.333313,0.1990431547,999.333313,0.2434727699,
998.666626,0.0007119555376,998.666626,0.0294720903,998.666626,0.103581056,998.666626,0.1988370866,998.666626,0.2431376129,
998,0.0007326469058,998,0.02942297608,998,0.1035211608,998,0.1986382455,998,0.2428303361,
997.333313,0.0007065624814,997.333313,0.02935605682,997.333313,0.1033952162,997.333313,0.1984165907,997.333313,0.2425557077,
996.666626,0.0007253607619,996.666626,0.02941522002,996.666626,0.1033587307,996.666626,0.1982433498,996.666626,0.2422893643,
996,0.000720330514,996,0.02935951762,996,0.1032848135,996,0.198102966,996,0.2419807315,
995.333313,0.0007128889556,995.333313,0.02931947075,995.333313,0.1031782404,995.333313,0.1978910267,995.333313,0.2417182624,
994.666626,0.0007776631974,994.666626,0.02936256491,994.666626,0.1031818837,994.666626,0.1977479458,994.666626,0.2415138036,
994,0.0006701609236,994,0.02921889909,994,0.1030059904,994,0.1974626631,994,0.2411113381,
993.333313,0.0006893983809,993.333313,0.02928917482,993.333313,0.1029936522,993.333313,0.1973716319,993.333313,0.2408768386,
992.666626,0.0006902280729,992.666626,0.02922291309,992.666626,0.1029145792,992.666626,0.1971397847,992.666626,0.2405411899,
992,0.0006440802244,992,0.02925112844,992,0.102796942,992,0.1969569921,992,0.240215987,
991.333313,0.0006781202392,991.333313,0.02917213738,991.333313,0.1027348638,991.333313,0.1967783719,991.333313,0.2399291992,
990.666626,0.0007258793339,990.666626,0.02921756916,990.666626,0.1027315184,990.666626,0.1966563016,990.666626,0.2397090942,
990,0.0007033733418,990,0.02916408144,990,0.1026188508,990,0.1964837611,990,0.2394310534,
989.333313,0.0007184117567,989.333313,0.02918177098,989.333313,0.1025409251,989.333313,0.1962848157,989.333313,0.2390876412,
988.666626,0.0007172190235,988.666626,0.02906813845,988.666626,0.1024803221,988.666626,0.1961166412,988.666626,0.2388499677,
988,0.0007328024949,988,0.02910129726,988,0.1023939028,988,0.1959137917,988,0.2385374606,
987.333313,0.0007077551563,987.333313,0.02906019613,987.333313,0.1023302674,987.333313,0.1957271248,987.333313,0.2382183969,
