FeCl3 0 uM,,FeCl3 5 uM,,FeCl3 20 uM,,FeCl3 50 uM,,FeCl3 100 uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1366.666626,0.003395421663,1366.666626,0.02540996112,1366.666626,0.09682811797,1366.666626,0.2113859653,1366.666626,0.3266887665,
1366,0.003039372386,1366,0.02488296665,1366,0.09596370906,1366,0.2092815936,1366,0.324842006,
1365.333374,0.00316563691,1365.333374,0.02473288216,1365.333374,0.09553408623,1365.333374,0.2087562829,1365.333374,0.3238741457,
1364.666626,0.002971601672,1364.666626,0.02483036555,1364.666626,0.09601808339,1364.666626,0.2099052817,1364.666626,0.3250837922,
1364,0.002832183149,1364,0.02507859841,1364,0.09658875316,1364,0.2105093598,1364,0.3254571855,
1363.333374,0.002571421443,1363.333374,0.02459887601,1363.333374,0.09595695883,1363.333374,0.2096358091,1363.333374,0.3246528208,
1362.666626,0.002749074716,1362.666626,0.02461177856,1362.666626,0.0960880667,1362.666626,0.2089240998,1362.666626,0.3234816194,
1362,0.002822542796,1362,0.02467259951,1362,0.09608703107,1362,0.2085232586,1362,0.3234702945,
1361.333374,0.00277650659,1361.333374,0.02494719997,1361.333374,0.09710668772,1361.333374,0.2100108564,1361.333374,0.3242064714,
1360.666626,0.002907932736,1360.666626,0.02488165163,1360.666626,0.09700446576,1360.666626,0.2101849467,1360.666626,0.3249467909,
1360,0.002452931134,1360,0.02442925423,1360,0.09586702287,1360,0.2087731957,1360,0.3240352869,
1359.333374,0.00272127986,1359.333374,0.02465229854,1359.333374,0.09631206095,1359.333374,0.2088249773,1359.333374,0.3230837882,
1358.666626,0.001934489235,1358.666626,0.02397927083,1358.666626,0.09582521766,1358.666626,0.2081168443,1358.666626,0.3221395612,
1358,0.002296919702,1358,0.02437199838,1358,0.0964884311,1358,0.2090376019,1358,0.3230225146,
1357.333374,0.001841205754,1357.333374,0.02389116772,1357.333374,0.09568535537,1357.333374,0.2079550326,1357.333374,0.3220550716,
1356.666626,0.002111205598,1356.666626,0.02415145189,1356.666626,0.09659983963,1356.666626,0.2090796977,1356.666626,0.3225182593,
1356,0.002009926364,1356,0.02407023683,1356,0.09620689601,1356,0.2079087347,1356,0.3213710189,
1355.333374,0.001967642456,1355.333374,0.02409891225,1355.333374,0.09654407203,1355.333374,0.2084793299,1355.333374,0.3220816255,
1354.666626,0.002083711559,1354.666626,0.02420419082,1354.666626,0.09652981162,1354.666626,0.2080961913,1354.666626,0.3216214478,
1354,0.00194738619,1354,0.02418741398,1354,0.09682494402,1354,0.2089018971,1354,0.3223052025,
1353.333374,0.001815158641,1353.333374,0.02407376654,1353.333374,0.09680780023,1353.333374,0.2082112432,1353.333374,0.32160905,
1352.666626,0.001665067044,1352.666626,0.0237118993,1352.666626,0.09627454728,1352.666626,0.2077614367,1352.666626,0.3209113777,
1352,0.001768865041,1352,0.02395333908,1352,0.09694566578,1352,0.2082319856,1352,0.3209023774,
1351.333374,0.001790776616,1351.333374,0.02398635633,1351.333374,0.09704955667,1351.333374,0.208138451,1351.333374,0.3210033178,
1350.666626,0.001684062765,1350.666626,0.02390779741,1350.666626,0.09710558504,1350.666626,0.208024025,1350.666626,0.320853442,
1350,0.001652100473,1350,0.02392029576,1350,0.0973013863,1350,0.2081537545,1350,0.3208645284,
1349.333374,0.001580986311,1349.333374,0.02385550551,1349.333374,0.09715984762,1349.333374,0.2077797353,1349.333374,0.3202489316,
1348.666626,0.001640017726,1348.666626,0.02388263494,1348.666626,0.09711970389,1348.666626,0.2077206373,1348.666626,0.3200559616,
1348,0.001530925045,1348,0.02382443845,1348,0.0969723016,1348,0.2074220031,1348,0.3204639554,
1347.333374,0.001557786483,1347.333374,0.0239204336,1347.333374,0.09713310748,1347.333374,0.2079648376,1347.333374,0.3213935196,
1346.666626,0.001507831737,1346.666626,0.02383524179,1346.666626,0.09698081017,1346.666626,0.2077777684,1346.666626,0.3217410445,
1346,0.001393526443,1346,0.02376674302,1346,0.09686590731,1346,0.2075782418,1346,0.3211937547,
1345.333374,0.001422301284,1345.333374,0.02377532981,1345.333374,0.09679466486,1345.333374,0.2073684335,1345.333374,0.3211171627,
1344.666626,0.001397032291,1344.666626,0.02380056679,1344.666626,0.09672389179,1344.666626,0.2074378282,1344.666626,0.3215135336,
1344,0.001436637365,1344,0.02379045077,1344,0.09670523554,1344,0.2073858231,1344,0.3215538859,
1343.333374,0.001386047457,1343.333374,0.02375610732,1343.333374,0.09660439938,1343.333374,0.2074179649,1343.333374,0.3216930032,
1342.666626,0.00136986922,1342.666626,0.02376031876,1342.666626,0.09648086876,1342.666626,0.2073003352,1342.666626,0.321562916,
1342,0.001283067744,1342,0.02370826341,1342,0.09633571655,1342,0.2072528899,1342,0.3214049339,
1341.333374,0.001305837417,1341.333374,0.02376663499,1341.333374,0.0963062495,1341.333374,0.2072503567,1341.333374,0.3212930858,
1340.666626,0.001250693575,1340.666626,0.02374284714,1340.666626,0.09619245678,1340.666626,0.2071835697,1340.666626,0.321134001,
1340,0.001337670372,1340,0.02387579717,1340,0.09630680084,1340,0.2072560638,1340,0.3211606145,
1339.333374,0.001275642426,1339.333374,0.0237873327,1339.333374,0.09621610492,1339.333374,0.2071323544,1339.333374,0.3210074902,
