non-imine polymer t=48hrs FeCl3 0uM,,non-imine polymer t=48hrs FeCl3 5uM,,non-imine polymer t=48hrs FeCl3 20uM,,non-imine polymer t=48hrs FeCl3 50uM,,non-imine polymer t=48hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1200,2.215895438E-005,1200,-0.0008871373138,1200,-0.001453753444,1200,-0.001687278971,1200,-0.002360431477,
1199.333374,5.695286382E-005,1199.333374,-0.0008838823414,1199.333374,-0.001457726466,1199.333374,-0.001663968083,1199.333374,-0.002392200287,
1198.666626,7.103690587E-005,1198.666626,-0.0008827456622,1198.666626,-0.001429501222,1198.666626,-0.001632042695,1198.666626,-0.002327424241,
1198,8.178147255E-005,1198,-0.0008651785902,1198,-0.00140514446,1198,-0.001622758573,1198,-0.002305074828,
1197.333374,0.0001115569612,1197.333374,-0.0008944738656,1197.333374,-0.001400190406,1197.333374,-0.001523251645,1197.333374,-0.002213347238,
1196.666626,4.657135287E-005,1196.666626,-0.0007674100343,1196.666626,-0.001452153781,1196.666626,-0.001559363562,1196.666626,-0.002268046141,
1196,9.340661927E-005,1196,-0.0007946965052,1196,-0.00138728891,1196,-0.001612700638,1196,-0.002239152323,
1195.333374,0.0001719945431,1195.333374,-0.0007406903896,1195.333374,-0.00137691584,1195.333374,-0.001515564509,1195.333374,-0.002236165106,
1194.666626,0.0001165801586,1194.666626,-0.0007817769656,1194.666626,-0.001428469201,1194.666626,-0.00155931199,1194.666626,-0.002264286391,
1194,0.0001280249853,1194,-0.0007977971109,1194,-0.001416961779,1194,-0.001521239523,1194,-0.002276183339,
1193.333374,8.473303751E-005,1193.333374,-0.0008275103173,1193.333374,-0.001449109521,1193.333374,-0.001556371571,1193.333374,-0.002331955824,
1192.666626,0.0001148194497,1192.666626,-0.0007795030833,1192.666626,-0.001479190891,1192.666626,-0.001558073913,1192.666626,-0.0023418942,
1192,0.0001199980397,1192,-0.0008269419195,1192,-0.00155157398,1192,-0.001603055047,1192,-0.002355385339,
1191.333374,0.0001289830398,1191.333374,-0.0008175372495,1191.333374,-0.001518711564,1191.333374,-0.00161239109,1191.333374,-0.002384013729,
1190.666626,0.0001744028996,1190.666626,-0.0008088558679,1190.666626,-0.001501273364,1190.666626,-0.001547240652,1190.666626,-0.002342872554,
1190,0.0001207748355,1190,-0.0008551547071,1190,-0.001566998311,1190,-0.001589540509,1190,-0.002441007877,
1189.333374,0.0001823531493,1189.333374,-0.0008505560691,1189.333374,-0.001537541975,1189.333374,-0.001585413935,1189.333374,-0.002383189974,
1188.666626,0.0002274936851,1188.666626,-0.0008097860264,1188.666626,-0.001553070033,1188.666626,-0.001564780134,1188.666626,-0.002375157783,
1188,0.0001750762021,1188,-0.0009447931079,1188,-0.001576386741,1188,-0.001610121573,1188,-0.002445950173,
1187.333374,0.00022650951,1187.333374,-0.0009035668918,1187.333374,-0.00162033434,1187.333374,-0.001580204,1187.333374,-0.002449038904,
1186.666626,0.0002666814544,1186.666626,-0.0008966954774,1186.666626,-0.001603983459,1186.666626,-0.001524025458,1186.666626,-0.002407388994,
1186,0.0002907967719,1186,-0.0008827973506,1186,-0.001571228262,1186,-0.001509425114,1186,-0.002464482794,
1185.333374,0.0003234102332,1185.333374,-0.0008626984782,1185.333374,-0.001557764364,1185.333374,-0.001489716349,1185.333374,-0.002347094938,
1184.666626,0.0003371920611,1184.666626,-0.000880162348,1184.666626,-0.001556784264,1184.666626,-0.001445239526,1184.666626,-0.002350545023,
1184,0.0003662337258,1184,-0.0008861040114,1184,-0.001557351672,1184,-0.001389301615,1184,-0.002320678206,
1183.333374,0.0004774701956,1183.333374,-0.0008347962284,1183.333374,-0.001483731321,1183.333374,-0.001298206393,1183.333374,-0.002233538311,
1182.666626,0.0004120152444,1182.666626,-0.0008832106832,1182.666626,-0.001534343464,1182.666626,-0.001288347412,1182.666626,-0.002230087295,
1182,0.0005078429822,1182,-0.0008749439148,1182,-0.001470109913,1182,-0.001150916913,1182,-0.00216477178,
1181.333374,0.0006021884037,1181.333374,-0.0008097860264,1181.333374,-0.001322465949,1181.333374,-0.001014992595,1181.333374,-0.00199922407,
1180.666626,0.0006966580404,1180.666626,-0.0007323691971,1180.666626,-0.001278694603,1180.666626,-0.0009295532946,1180.666626,-0.00193980115,
1180,0.0006571722333,1180,-0.0008285954827,1180,-0.001311213826,1180,-0.0008794390014,1180,-0.001921916031,
1179.333374,0.0006925096386,1179.333374,-0.0008169171633,1179.333374,-0.001295780414,1179.333374,-0.0007808984374,1179.333374,-0.001809433918,
1178.666626,0.0007322579622,1178.666626,-0.0008105611196,1178.666626,-0.00124137185,1178.666626,-0.0006611418794,1178.666626,-0.001769991242,
1178,0.000794675143,1178,-0.0008091142518,1178,-0.001207350288,1178,-0.000608463306,1178,-0.00170512218,
1177.333374,0.0008331101271,1177.333374,-0.0007879267214,1177.333374,-0.001199502731,1177.333374,-0.0005113608786,1177.333374,-0.001636787783,
1176.666626,0.0009199254564,1176.666626,-0.000753404398,1176.666626,-0.001121845562,1176.666626,-0.0003880125878,1176.666626,-0.001553224749,
1176,0.000974456605,1176,-0.0006816118839,1176,-0.001070410595,1176,-0.0002408280416,1176,-0.001417323016,
1175.333374,0.001012206892,1175.333374,-0.0007244097069,1175.333374,-0.0010654527,1175.333374,-0.0001946188713,1175.333374,-0.001441833912,
1174.666626,0.001029928681,1174.666626,-0.0006909677759,1174.666626,-0.001066175755,1174.666626,-0.0001111918828,1174.666626,-0.001358697773,
1174,0.001025024569,1174,-0.0007143825642,1174,-0.001040662406,1174,-4.690284186E-005,1174,-0.001310542808,
1173.333374,0.001081489259,1173.333374,-0.0006414980162,1173.333374,-0.001016077236,1173.333374,5.314714508E-005,1173.333374,-0.00124668912,
1172.666626,0.001130538527,1172.666626,-0.0006640366628,1172.666626,-0.001028163359,1172.666626,0.0001379423484,1172.666626,-0.001241268707,
1172,0.00109765667,1172,-0.0005881966208,1172,-0.0009590508416,1172,0.0001929450955,1172,-0.001176785328,
1171.333374,0.001136689447,1171.333374,-0.0005802345113,1171.333374,-0.000982244499,1171.333374,0.0003202757216,1171.333374,-0.001107180025,
1170.666626,0.001203915104,1170.666626,-0.000546160969,1170.666626,-0.0009431916405,1170.666626,0.0004140103702,1170.666626,-0.001079551643,
1170,0.001193973352,1170,-0.0005371639272,1170,-0.0009256786434,1170,0.000519609137,1170,-0.001035342575,
1169.333374,0.00118460285,1169.333374,-0.0005529345362,1169.333374,-0.0008991754148,1169.333374,0.0005991814542,1169.333374,-0.001017368515,
1168.666626,0.00122029474,1168.666626,-0.0005550545175,1168.666626,-0.0008761839126,1168.666626,0.000679364719,1168.666626,-0.001006986597,
1168,0.001184836496,1168,-0.0005768737756,1168,-0.0009085783386,1168,0.0007322060992,1168,-0.0009728432633,
1167.333374,0.001217309502,1167.333374,-0.0005488497554,1167.333374,-0.0008411002345,1167.333374,0.0008346402901,1167.333374,-0.0009100765456,
1166.666626,0.001225019339,1166.666626,-0.0005741852219,1166.666626,-0.0008565498283,1166.666626,0.0009844452143,1166.666626,-0.000886827358,
1166,0.001346135279,1166,-0.0004609397147,1166,-0.0007768158102,1166,0.001052711043,1166,-0.0007956266636,
1165.333374,0.001267516403,1165.333374,-0.0005236162106,1165.333374,-0.000781673647,1165.333374,0.001111618825,1165.333374,-0.0007503034431,
1164.666626,0.001290441141,1164.666626,-0.0005348370178,1164.666626,-0.0007593478076,1164.666626,0.001111359335,1164.666626,-0.000758572598,
1164,0.00124968111,1164,-0.0006093938719,1164,-0.0008462673868,1164,0.00112903316,1164,-0.0008018795634,
1163.333374,0.001322948025,1163.333374,-0.000627798494,1163.333374,-0.0007733532693,1163.333374,0.001250615693,1163.333374,-0.0006662594387,
1162.666626,0.001309446408,1162.666626,-0.0005835951306,1162.666626,-0.0007928361301,1162.666626,0.001267750049,1162.666626,-0.0006868842756,
1162,0.001277304022,1162,-0.0006390166236,1162,-0.0007947481936,1162,0.001238544239,1162,-0.0006901407614,
1161.333374,0.001295815455,1161.333374,-0.0005742369103,1161.333374,-0.0007483395166,1161.333374,0.001345252502,1161.333374,-0.0006123407511,
1160.666626,0.001255781855,1160.666626,-0.0006936039426,1160.666626,-0.0008139200509,1160.666626,0.001286884188,1160.666626,-0.0006039654254,
1160,0.001246617758,1160,-0.0007030112902,1160,-0.0008392400341,1160,0.001271592453,1160,-0.0006269196165,
1159.333374,0.001224110718,1159.333374,-0.0007567637367,1159.333374,-0.0008560848073,1159.333374,0.001276447321,1159.333374,-0.0006192166475,
1158.666626,0.001122155576,1158.666626,-0.0009120914037,1158.666626,-0.0009583792998,1158.666626,0.001190754701,1158.666626,-0.000669877918,
1158,0.00100730313,1158,-0.0009443281451,1158,-0.0009990837425,1158,0.001126126386,1158,-0.0006440310972,
1157.333374,0.0009599800105,1157.333374,-0.0009364241851,1157.333374,-0.001065401128,1157.333374,0.001099032117,1157.333374,-0.0005413005129,
1156.666626,0.0007924189558,1156.666626,-0.001169401803,1156.666626,-0.001092307386,1156.666626,0.0008796671173,1156.666626,-0.0005616727867,
1156,0.0006092910771,1156,-0.001324014273,1156,-0.001304090722,1156,0.0006968654343,1156,-0.0006130128168,
1155.333374,0.0004661198182,1155.333374,-0.001600733842,1155.333374,-0.001554617542,1155.333374,0.0004643058637,1155.333374,-0.0008108711918,
1154.666626,0.0003270629095,1154.666626,-0.001784943743,1154.666626,-0.001986082643,1154.666626,0.0003216745972,1154.666626,-0.0009964494966,
1154,0.0003318036324,1154,-0.00182479748,1154,-0.002251307713,1154,0.0002106334287,1154,-0.001092307386,
1153.333374,0.0003022202582,1153.333374,-0.001836139476,1153.333374,-0.002542775357,1153.333374,8.292066923E-005,1153.333374,-0.001230014488,
1152.666626,0.0003739025269,1152.666626,-0.001801803475,1152.666626,-0.00273548672,1152.666626,4.639013423E-005,1152.666626,-0.001361381495,
1152,0.0007047475083,1152,-0.001653859508,1152,-0.002675135154,1152,0.0002042624255,1152,-0.00125309045,
1151.333374,0.0009347379673,1151.333374,-0.001289534615,1151.333374,-0.002456966788,1151.333374,0.0004444564402,1151.333374,-0.001104907831,
1150.666626,0.001169236843,1150.666626,-0.0009785253787,1150.666626,-0.002063688589,1150.666626,0.0006926652277,1150.666626,-0.0007341781748,
1150,0.001270294306,1150,-0.0008643002366,1150,-0.001782520441,1150,0.0006352400524,1150,-0.0005824060063,
1149.333374,0.001391137252,1149.333374,-0.000735005131,1149.333374,-0.001461080392,1149.333374,0.0007179710083,1149.333374,-0.0004009438271,
1148.666626,0.001518170349,1148.666626,-0.0005864904961,1148.666626,-0.001115752151,1148.666626,0.0008357036859,1148.666626,-0.000216352797,
1148,0.001576803508,1148,-0.000496105873,1148,-0.00089132227,1148,0.0009339337703,1148,-6.967943773E-005,
1147.333374,0.001585532911,1147.333374,-0.0003707876022,1147.333374,-0.0007244097069,1147.333374,0.0008257703739,1147.333374,-3.624020337E-006,
1146.666626,0.001506740809,1146.666626,-0.0002745633246,1146.666626,-0.0005855081254,1146.666626,0.0008405796252,1146.666626,8.602759044E-005,
1146,0.001472895499,1146,-0.0002404140832,1146,-0.0004387008375,1146,0.0007736436673,1146,0.0001803073101,
1145.333374,0.001532457769,1145.333374,-0.0001825612417,1145.333374,-0.0003179186024,1145.333374,0.000711203611,1145.333374,0.0002525133605,
1144.666626,0.001578518189,1144.666626,-0.0001195249497,1144.666626,-0.0001191108895,1144.666626,0.0007545321132,1144.666626,0.0003273219627,
1144,0.001625311095,1144,-3.732596088E-005,1144,6.32699157E-005,1144,0.0008341216017,1144,0.0004337288265,
1143.333374,0.001697186148,1143.333374,7.815677236E-005,1143.333374,0.0002659561869,1143.333374,0.0009001590079,1143.333374,0.000608642993,
1142.666626,0.001745213405,1142.666626,0.0002121355355,1142.666626,0.0004839229514,1142.666626,0.0009671663283,1142.666626,0.0007741622976,
1142,0.001820903388,1142,0.0003654306056,1142,0.0007127852296,1142,0.00109765667,1142,0.001012440422,
1141.333374,0.001872895984,1141.333374,0.0005197646096,1141.333374,0.001004864112,1141.333374,0.001176971709,1141.333374,0.00116871763,
1140.666626,0.001975703752,1140.666626,0.0006393360673,1140.666626,0.001282704179,1140.666626,0.001335671055,1140.666626,0.001440091641,
1140,0.002050341573,1140,0.0007806972717,1140,0.001519235433,1140,0.00143713085,1140,0.001664885087,
1139.333374,0.002121350495,1139.333374,0.0008872153121,1139.333374,0.001774479286,1139.333374,0.001617152593,1139.333374,0.001781965024,
1138.666626,0.002205431694,1138.666626,0.001068202779,1138.666626,0.002031876007,1138.666626,0.001784538268,1138.666626,0.002039158018,
1138,0.00228159246,1138,0.001179619227,1138,0.002261477523,1138,0.00190334057,1138,0.002222655807,
1137.333374,0.002331141615,1137.333374,0.001347251935,1137.333374,0.002497136593,1137.333374,0.002036323305,1137.333374,0.002378041856,
1136.666626,0.002409875393,1136.666626,0.001437338651,1136.666626,0.002627722919,1136.666626,0.002138987416,1136.666626,0.0025065355,
1136,0.002403862309,1136,0.001562722493,1136,0.002793675056,1136,0.002238007262,1136,0.002640848979,
1135.333374,0.002411411144,1135.333374,0.001452272641,1135.333374,0.002758869668,1135.333374,0.002173118759,1135.333374,0.002622957109,
1134.666626,0.00239410135,1134.666626,0.001534847659,1134.666626,0.002793544903,1134.666626,0.002170569263,1134.666626,0.002633608878,
1134,0.002319274237,1134,0.001439935877,1134,0.002643270884,1134,0.00202313764,1134,0.002490992425,
1133.333374,0.002241910202,1133.333374,0.001368233236,1133.333374,0.002529447665,1133.333374,0.001959867543,1133.333374,0.00236815121,
1132.666626,0.002270923229,1132.666626,0.001358910929,1132.666626,0.002477037953,1132.666626,0.001911426545,1132.666626,0.00233574817,
1132,0.002230201382,1132,0.001266140491,1132,0.002388140885,1132,0.001865330734,1132,0.00227243267,
1131.333374,0.002193151508,1131.333374,0.00121237745,1131.333374,0.002219247399,1131.333374,0.001806658576,1131.333374,0.002176396782,
1130.666626,0.002132119844,1130.666626,0.001157063758,1130.666626,0.002102335682,1130.666626,0.001743134111,1130.666626,0.002063970082,
1130,0.002069432056,1130,0.00107757072,1130,0.001945904107,1130,0.0016821397,1130,0.001964236144,
1129.333374,0.001996611245,1129.333374,0.00096584321,1129.333374,0.001715949387,1129.333374,0.001548434142,1129.333374,0.001739001716,
1128.666626,0.001903704484,1128.666626,0.0008413577452,1128.666626,0.001490454189,1128.666626,0.001391267171,1128.666626,0.001571087982,
1128,0.001855061855,1128,0.0007205638685,1128,0.001334346831,1128,0.001179982559,1128,0.001408199314,
1127.333374,0.001767045702,1127.333374,0.0006383768632,1127.333374,0.001183149288,1127.333374,0.001092336723,1127.333374,0.001295477967,
1126.666626,0.001718444284,1126.666626,0.0005282913917,1126.666626,0.0009529494564,1126.666626,0.0009197698673,1126.666626,0.001113098115,
1126,0.001610527048,1126,0.0004242711002,1126,0.0007523020613,1126,0.0007934822352,1126,0.0008938816609,
1125.333374,0.001569139422,1125.333374,0.0003624512174,1125.333374,0.00068234629,1125.333374,0.0007123185205,1125.333374,0.0008878118824,
1124.666626,0.001514611533,1124.666626,0.0002591440571,1124.666626,0.0005058992538,1124.666626,0.0005318421172,1124.666626,0.0006835907698,
1124,0.001514923293,1124,0.0002083284635,1124,0.0003705603594,1124,0.000448395178,1124,0.0005950080813,
1123.333374,0.001503286068,1123.333374,0.0001323751349,1123.333374,0.0002750219428,1123.333374,0.0003570883709,1123.333374,0.0005164731992,
1122.666626,0.00135706726,1122.666626,7.657744572E-005,1122.666626,0.0001502422529,1122.666626,0.0002720949706,1122.666626,0.0004463480727,
1122,0.001333645661,1122,-2.417682117E-005,1122,1.26841428E-006,1122,7.010486297E-005,1122,0.0002293584548,
1121.333374,0.001272085705,1121.333374,-5.937835158E-005,1121.333374,-9.96495437E-005,1121.333374,-7.248010661E-006,1121.333374,0.0001755164412,
1120.666626,0.001230756287,1120.666626,-0.0001626369631,1120.666626,-0.0001864424848,1120.666626,-0.0001362423645,1120.666626,5.366492769E-005,
1120,0.001246773521,1120,-0.0001237172983,1120,-0.0001976202911,1120,-0.000148197767,1120,8.662309119E-005,
1119.333374,0.001132043777,1119.333374,-0.000218008674,1119.333374,-0.0003639594943,1119.333374,-0.0003372667124,1119.333374,-1.170030009E-005,
1118.666626,0.001136481878,1118.666626,-0.0002816515334,1118.666626,-0.0003814433876,1118.666626,-0.0004293911916,1118.666626,-9.923546168E-005,
1118,0.001105494099,1118,-0.0002555228712,1118,-0.0004059093189,1118,-0.0004103575193,1118,-8.11708087E-005,
1117.333374,0.00110500108,1117.333374,-0.0002795302426,1117.333374,-0.000446820748,1117.333374,-0.0005020527751,1117.333374,-5.834305193E-005,
1116.666626,0.001041475451,1116.666626,-0.0003281100944,1116.666626,-0.0005517969839,1116.666626,-0.0006170970155,1116.666626,-0.0001829234971,
1116,0.001032653148,1116,-0.0004059093189,1116,-0.0005824060063,1116,-0.0006779418327,1116,-0.000214438187,
1115.333374,0.001043629134,1115.333374,-0.0003856849216,1115.333374,-0.0005827679415,1115.333374,-0.0006802679272,1115.333374,-0.0002139724675,
1114.666626,0.0009366836166,1114.666626,-0.0004269085766,1114.666626,-0.0006998066092,1114.666626,-0.000831747544,1114.666626,-0.0002783402742,
1114,0.0009622370708,1114,-0.0004450622946,1114,-0.0007012021961,1114,-0.000871068798,1114,-0.000311865675,
1113.333374,0.0009097568109,1113.333374,-0.000489486556,1113.333374,-0.0007372275577,1113.333374,-0.0008338661282,1113.333374,-0.0003753913334,
1112.666626,0.000954661693,1112.666626,-0.0004397869343,1112.666626,-0.0007237378159,1112.666626,-0.0008667286602,1112.666626,-0.0003645802208,
1112,0.0008701478364,1112,-0.0005235645222,1112,-0.0008248749655,1112,-0.0009417451802,1112,-0.0003925127094,
1111.333374,0.0008495277143,1111.333374,-0.0005425931886,1111.333374,-0.000822446309,1111.333374,-0.0009853438241,1111.333374,-0.0004122712708,
1110.666626,0.000839386601,1110.666626,-0.0005805963883,1110.666626,-0.0008549480117,1110.666626,-0.0009661279037,1110.666626,-0.0004271671933,
1110,0.0008243179764,1110,-0.0005632756511,1110,-0.0008588233031,1110,-0.0009874616517,1110,-0.0004204433935,
1109.333374,0.0008386344416,1109.333374,-0.0005990022328,1109.333374,-0.0008645585622,1109.333374,-0.0009816763923,1109.333374,-0.0004376664292,
1108.666626,0.0008032072801,1108.666626,-0.0005860768724,1108.666626,-0.0009119880851,1108.666626,-0.0009888563072,1108.666626,-0.0004326495982,
1108,0.0007567362627,1108,-0.0006348292227,1108,-0.0009271252202,1108,-0.001053419313,1108,-0.0005034490023,
1107.333374,0.0007828496746,1107.333374,-0.0006105829962,1107.333374,-0.000923767162,1107.333374,-0.001036685542,1107.333374,-0.0004811088729,
1106.666626,0.0007680424023,1106.666626,-0.0005886102444,1106.666626,-0.0009731015307,1106.666626,-0.001014631009,1106.666626,-0.0004530269362,
1106,0.0007507202681,1106,-0.0006292976905,1106,-0.0009889079956,1106,-0.001043864526,1106,-0.0004564403207,
1105.333374,0.0007702206494,1105.333374,-0.0005944525474,1105.333374,-0.0009571395349,1105.333374,-0.00103425805,1105.333374,-0.0004431486886,
1104.666626,0.0007197600789,1104.666626,-0.0006060334272,1104.666626,-0.0009817279642,1104.666626,-0.001069635968,1104.666626,-0.0004260293208,
1104,0.000710425782,1104,-0.00065876398,1104,-0.0009906642372,1104,-0.001046343707,1104,-0.0003875987895,
1103.333374,0.0007078847848,1103.333374,-0.0006071708049,1103.333374,-0.0009750644676,1103.333374,-0.0009932985995,1103.333374,-0.0003673735482,
1102.666626,0.0007279277779,1102.666626,-0.0006386547466,1102.666626,-0.001021087402,1102.666626,-0.001041075564,1102.666626,-0.0003880125878,
1102,0.000590368174,1102,-0.0007746452466,1102,-0.001134135295,1102,-0.001106043928,1102,-0.0004066334513,
1101.333374,0.0008184566977,1101.333374,-0.0005307520623,1101.333374,-0.0008633185062,1101.333374,-0.0008965404704,1101.333374,-0.0002729076659,
1100.666626,0.0006551760016,1100.666626,-0.0006642951048,1100.666626,-0.001063696807,1100.666626,-0.001011428656,1100.666626,-0.0003805640445,
1100,0.0006796499365,1100,-0.0006212329026,1100,-0.0009831227362,1100,-0.0009438115521,1100,-0.0003386634635,
1099.333374,0.0005775633035,1099.333374,-0.0007037349278,1099.333374,-0.001026717247,1099.333374,-0.001017161878,1099.333374,-0.0003797881363,
1098.666626,0.0006665312685,1098.666626,-0.0006152358837,1098.666626,-0.0009573978023,1098.666626,-0.0009558997117,1098.666626,-0.000326040783,
1098,0.0006228745915,1098,-0.000628522248,1098,-0.0009712935425,1098,-0.0009541433537,1098,-0.000339542923,
1097.333374,0.000530105608,1097.333374,-0.0006878664135,1097.333374,-0.0009846723406,1097.333374,-0.001004558988,1097.333374,-0.0003900816082,
1096.666626,0.0005743750953,1096.666626,-0.000601949112,1096.666626,-0.0009142096387,1096.666626,-0.000885742309,1096.666626,-0.000356200122,
1096,0.000676953583,1096,-0.0006114101852,1096,-0.000889720628,1096,-0.0009615304298,1096,-0.0003884264152,
1095.333374,0.0005519546685,1095.333374,-0.0006429454661,1095.333374,-0.0008841923554,1095.333374,-0.0009428816848,1095.333374,-0.0004203399585,
1094.666626,0.000531505153,1094.666626,-0.0006516819121,1094.666626,-0.0008988137706,1094.666626,-0.000909973227,1094.666626,-0.0004284085007,
1094,0.0005093461368,1094,-0.0006208710256,1094,-0.0009020686266,1094,-0.000899382052,1094,-0.0004484757374,
1093.333374,0.0005853913608,1093.333374,-0.0006010702346,1093.333374,-0.0008197592688,1093.333374,-0.0008875506464,1093.333374,-0.0004331668024,
1092.666626,0.0005758525804,1092.666626,-0.0006093938719,1092.666626,-0.0008486442384,1092.666626,-0.0008529845509,1092.666626,-0.0004361665633,
1092,0.0005157216219,1092,-0.0006282637478,1092,-0.0008499359828,1092,-0.0008573765517,1092,-0.0004566471907,
1091.333374,0.0005888647866,1091.333374,-0.0006197853363,1091.333374,-0.0007932495209,1091.333374,-0.0008255467401,1091.333374,-0.0004267017066,
1090.666626,0.0005907051382,1090.666626,-0.0005981749855,1090.666626,-0.0007853428251,1090.666626,-0.0008152636001,1090.666626,-0.0004626463633,
1090,0.0005639552837,1090,-0.0006230422878,1090,-0.0007968669524,1090,-0.0007974870387,1090,-0.0004612500197,
1089.333374,0.0005144517054,1089.333374,-0.0006368453614,1089.333374,-0.0008058586391,1089.333374,-0.000810612808,1089.333374,-0.0004967781133,
1088.666626,0.0005872835754,1088.666626,-0.0006161664496,1088.666626,-0.0007249782211,1088.666626,-0.0007526291301,1088.666626,-0.0004441313504,
1088,0.0005727940006,1088,-0.0006006566109,1088,-0.0007358837756,1088,-0.0007157780929,1088,-0.0004259258858,
1087.333374,0.0005199201405,1087.333374,-0.0006370004849,1087.333374,-0.0007665831363,1087.333374,-0.0007586242282,1087.333374,-0.0004906759714,
1086.666626,0.0005699687172,1086.666626,-0.0006752021727,1086.666626,-0.0007506652037,1086.666626,-0.0007043035002,1086.666626,-0.0004319254949,
1086,0.000552758167,1086,-0.0006700846716,1086,-0.0007540245424,1086,-0.000689313747,1086,-0.000414857408,
1085.333374,0.0005699946196,1085.333374,-0.0006107380614,1085.333374,-0.0007504068199,1085.333374,-0.0006435140967,1085.333374,-0.0003892540117,
1084.666626,0.0005465376889,1084.666626,-0.0006336402148,1084.666626,-0.0008051868645,1084.666626,-0.0006454268587,1084.666626,-0.0003783915017,
1084,0.0005711350823,1084,-0.0006540598115,1084,-0.0008177956333,1084,-0.0006016389234,1084,-0.0003769948962,
1083.333374,0.0006299775559,1083.333374,-0.0006539047463,1083.333374,-0.0008043600246,1083.333374,-0.0006051028031,1083.333374,-0.0003444056492,
1082.666626,0.0006260371883,1082.666626,-0.0006060851156,1082.666626,-0.0008182090241,1082.666626,-0.0005549510824,1082.666626,-0.000364787149,
1082,0.0005659770686,1082,-0.0006810432533,1082,-0.000893078919,1082,-0.0006061885506,1082,-0.0004122712708,
1081.333374,0.0005959931295,1081.333374,-0.0006705499254,1081.333374,-0.0009138996247,1081.333374,-0.0005576397525,1081.333374,-0.0003397498222,
1080.666626,0.0005792222219,1080.666626,-0.0006790790358,1080.666626,-0.000900828687,1080.666626,-0.0005184452166,1080.666626,-0.0003443539026,
1080,0.0005867910804,1080,-0.0006750987959,1080,-0.0009465495241,1080,-0.0004967781133,1080,-0.0003375771048,
1079.333374,0.0005578382988,1079.333374,-0.0007380545139,1079.333374,-0.001027491991,1079.333374,-0.0005444029812,1079.333374,-0.000354027492,
1078.666626,0.0005334230955,1078.666626,-0.0007250815979,1078.666626,-0.001037976705,1078.666626,-0.0005222717882,1078.666626,-0.0003500960011,
1078,0.0005447493168,1078,-0.0006767529412,1078,-0.001037976705,1078,-0.0004948647693,1078,-0.0003501994652,
1077.333374,0.0005106937606,1077.333374,-0.000770407496,1077.333374,-0.001076504705,1077.333374,-0.0004730413202,1077.333374,-0.0003538205638,
1076.666626,0.0004807095102,1076.666626,-0.0008088041795,1076.666626,-0.00111693982,1076.666626,-0.0005088787293,1076.666626,-0.0003977886518,
1076,0.0005324641243,1076,-0.0007095239707,1076,-0.001126338029,1076,-0.0004660596605,1076,-0.0003593556175,
1075.333374,0.0005190648953,1075.333374,-0.0007509753341,1075.333374,-0.001039267867,1075.333374,-0.0003827882756,1075.333374,-0.0002960345591,
1074.666626,0.0005411725724,1074.666626,-0.000727459148,1074.666626,-0.001110433252,1074.666626,-0.000413667789,1074.666626,-0.0003197292972,
1074,0.0005110307247,1074,-0.0006661043735,1074,-0.001107644755,1074,-0.0003907023347,1074,-0.0003293516929,
1073.333374,0.0004767186765,1073.333374,-0.000717742194,1073.333374,-0.001135787694,1073.333374,-0.0004314082908,1073.333374,-0.0003908057697,
1072.666626,0.0005412244354,1072.666626,-0.0006430488429,1072.666626,-0.00108528405,1072.666626,-0.0003466818016,1072.666626,-0.0003267133143,
1072,0.0005712906132,1072,-0.0006505446509,1072,-0.001070772181,1072,-0.0003477164137,1072,-0.0003285756975,
1071.333374,0.000563255453,1071.333374,-0.0006851268117,1071.333374,-0.001139505534,1071.333374,-0.0003807192261,1071.333374,-0.0003516996221,
1070.666626,0.0005258292658,1070.666626,-0.0006189581472,1070.666626,-0.001144927228,1070.666626,-0.0003309036547,1070.666626,-0.0003456471895,
1070,0.000541094807,1070,-0.0006611418794,1070,-0.001144204405,1070,-0.0003155388404,1070,-0.0003200914362,
1069.333374,0.0005414058105,1069.333374,-0.0006287290016,1069.333374,-0.001115132472,1069.333374,-0.0003064335033,1069.333374,-0.0003383013536,
1068.666626,0.0005287579261,1068.666626,-0.0006829041522,1068.666626,-0.001147147617,1068.666626,-0.0002864114358,1068.666626,-0.0003014151298,
1068,0.0005359371426,1068,-0.0006017940468,1068,-0.001157216378,1068,-0.000208383819,1068,-0.0002793232852,
1067.333374,0.0005851321621,1067.333374,-0.000597296108,1067.333374,-0.001160882413,1067.333374,-0.0002332217118,1067.333374,-0.000273890706,
1066.666626,0.0005587195628,1066.666626,-0.000599260733,1066.666626,-0.001132276375,1066.666626,-0.0002397931676,1066.666626,-0.0003101066977,
1066,0.0005661844043,1066,-0.000570927863,1066,-0.001132069738,1066,-0.0001850970002,1066,-0.0002742011275,
1065.333374,0.0005238336162,1065.333374,-0.0006012770464,1065.333374,-0.00118292938,1065.333374,-0.0001890817221,1065.333374,-0.0002943272411,
1064.666626,0.0005313496804,1064.666626,-0.0006015355466,1064.666626,-0.00115019409,1064.666626,-0.0001686919713,1064.666626,-0.0002862044785,
1064,0.0005863763508,1064,-0.0005634307745,1064,-0.001131037017,1064,-0.0001579792151,1064,-0.000273890706,
