t=1hrs FeCl3 0uM,,t=1hrs FeCl3 5uM,,t=1hrs FeCl3 20uM,,t=1hrs FeCl3 50uM,,t=1hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.002932768315,1400,0.003999047913,1400,0.007985242642,1400,0.004499821458,1400,0.004501992371,
1399.333374,0.003084080992,1399.333374,0.004150497261,1399.333374,0.007992625237,1399.333374,0.004634648096,1399.333374,0.004589335062,
1398.666626,0.002727896208,1398.666626,0.003648403334,1398.666626,0.007302548736,1398.666626,0.003917126451,1398.666626,0.00425936142,
1398,0.002153841546,1398,0.003162455745,1398,0.006632333621,1398,0.003524947446,1398,0.003669104539,
1397.333374,0.001344084041,1397.333374,0.002408339642,1397.333374,0.005457805004,1397.333374,0.002550381934,1397.333374,0.002925080247,
1396.666626,0.001168899355,1396.666626,0.002093413612,1396.666626,0.005075782537,1396.666626,0.002404357074,1396.666626,0.002873065881,
1396,0.001075520646,1396,0.001851864276,1396,0.004651367199,1396,0.002250991296,1396,0.002544913907,
1395.333374,0.0009850419592,1395.333374,0.001735493192,1395.333374,0.004225248471,1395.333374,0.002213965636,1395.333374,0.002451238921,
1394.666626,0.0005429350422,1394.666626,0.001120754168,1394.666626,0.003296294017,1394.666626,0.001622764859,1394.666626,0.001928690937,
1394,-0.0002110746573,1394,0.0005187797942,1394,0.002188104205,1394,0.0007469084812,1394,0.001257028081,
1393.333374,-0.0005431103054,1393.333374,0.0001364922646,1393.333374,0.001774141449,1393.333374,0.0003869345819,1393.333374,0.0008573347004,
1392.666626,-0.0006510615931,1392.666626,2.857905019E-005,1392.666626,0.001447519753,1392.666626,0.000213637657,1392.666626,0.0007179450477,
1392,-0.0002960863058,1392,0.0001248141925,1392,0.001705424162,1392,0.0006007886259,1392,0.0008830131846,
1391.333374,-0.0007558851503,1391.333374,-0.0003330764303,1391.333374,0.0009366836166,1391.333374,1.157118186E-005,1391.333374,0.0003657155903,
1390.666626,-0.0009694856126,1390.666626,-0.0003802019346,1390.666626,0.0007490348071,1390.666626,-0.000121595258,1390.666626,0.0002449503227,
1390,-0.001486207941,1390,-0.0008555680979,1390,2.303912333E-005,1390,-0.0008006393327,1390,-0.0002061586856,
1389.333374,-0.001293096226,1389.333374,-0.0007754204562,1389.333374,0.0001947579149,1389.333374,-0.0006422734587,1389.333374,-0.0002118508564,
1388.666626,-0.001342853182,1388.666626,-0.0009614271112,1388.666626,6.593656872E-005,1388.666626,-0.0006554038846,1388.666626,-0.0002673197596,
1388,-0.001178334234,1388,-0.0008921489352,1388,0.0002286850649,1388,-0.0005066551385,1388,-0.0001727803465,
1387.333374,-0.001444620313,1387.333374,-0.001017833361,1387.333374,-0.0002488999162,1387.333374,-0.0007921642973,1387.333374,-0.0004027541727,
1386.666626,-0.001592016546,1386.666626,-0.001168265939,1386.666626,-0.0003832020739,1386.666626,-0.0009616853786,1386.666626,-0.000455147383,
1386,-0.001751686563,1386,-0.001360091264,1386,-0.0006024144241,1386,-0.001114925952,1386,-0.0006335885264,
