non-imine polymer 0.0% TFA,,non-imine polymer 0.017% TFA,,non-imine polymer 0.05% TFA,,non-imine polymer 0.1% TFA,,non-imine polymer 0.25% TFA,,non-imine polymer 0.5% TFA,,non-imine polymer 1.0% TFA,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1380.666626,0.0001675404201,1380.666626,0.0008572309744,1380.666626,0.0008667240618,1380.666626,0.003940112889,1380.666626,0.002266811905,1380.666626,0.005817679688,1380.666626,0.005675692577,
1380,9.042910096E-005,1380,0.0007734621759,1380,0.0008503057761,1380,0.003781843232,1380,0.002100280719,1380,0.005718364846,1380,0.005484281108,
1379.333374,5.980070273E-005,1379.333374,0.0007720099529,1379.333374,0.0007414630963,1379.333374,0.003787796944,1379.333374,0.002099682344,1379.333374,0.00553409243,1379.333374,0.00544551108,
1378.666626,9.666896221E-005,1378.666626,0.0008108838229,1378.666626,0.000786376535,1378.666626,0.003751788987,1378.666626,0.002072891453,1378.666626,0.005439639557,1378.666626,0.005329038016,
1378,3.409315832E-005,1378,0.0007247384638,1378,0.0007208490861,1378,0.003689258592,1378,0.001994504826,1378,0.00533328345,1378,0.005235991906,
1377.333374,7.714703679E-005,1377.333374,0.0007461824571,1377.333374,0.0007440561312,1377.333374,0.003671976272,1377.333374,0.001965120202,1377.333374,0.005249092355,1377.333374,0.005140529945,
1376.666626,8.51214063E-005,1376.666626,0.0007673162618,1376.666626,0.0007603925769,1376.666626,0.003627676982,1376.666626,0.001920890645,1376.666626,0.005191375967,1376.666626,0.005069942214,
1376,8.532853099E-005,1376,0.0007529762806,1376,0.0007418780006,1376,0.003547025844,1376,0.00190336653,1376,0.005086128134,1376,0.004963755142,
1375.333374,8.160023572E-005,1375.333374,0.0007452489226,1375.333374,0.0007362252218,1375.333374,0.003439462278,1375.333374,0.001867358456,1375.333374,0.005058392882,1375.333374,0.004875551909,
1374.666626,6.702394603E-005,1374.666626,0.0007421891787,1374.666626,0.0006924837362,1374.666626,0.003393569263,1374.666626,0.001899362658,1374.666626,0.005039406009,1374.666626,0.00489547383,
1374,4.960034858E-005,1374,0.0007280055434,1374,0.0006809203187,1374,0.003273393726,1374,0.001843805425,1374,0.005026155151,1374,0.004867410287,
1373.333374,8.62347224E-005,1373.333374,0.0007532096351,1373.333374,0.0007473752485,1373.333374,0.003278896911,1373.333374,0.001963820076,1373.333374,0.005136967637,1373.333374,0.004962079227,
1372.666626,2.057983329E-005,1372.666626,0.0006962690968,1372.666626,0.0007173487102,1372.666626,0.003211949253,1372.666626,0.001867176499,1372.666626,0.005168663338,1372.666626,0.005029087886,
1372,0.0001005009544,1372,0.0007422929048,1372,0.000759692397,1372,0.003174346173,1372,0.001988627715,1372,0.005271442235,1372,0.005109412596,
1371.333374,6.849967758E-005,1371.333374,0.0007595109055,1371.333374,0.0007594590425,1371.333374,0.003058975795,1371.333374,0.002034112578,1371.333374,0.005371702835,1371.333374,0.005225486122,
1370.666626,5.573606541E-005,1370.666626,0.0007758997963,1370.666626,0.0007505906397,1370.666626,0.002978795208,1370.666626,0.002051147865,1370.666626,0.005452090409,1370.666626,0.005369789433,
1370,4.481092401E-005,1370,0.0007506943657,1370,0.00072598306,1370,0.002975250594,1370,0.002057988197,1370,0.005552471615,1370,0.005479274318,
1369.333374,5.974892338E-005,1369.333374,0.000757410482,1369.333374,0.0007592515904,1369.333374,0.00296438206,1369.333374,0.002142005134,1369.333374,0.005636931397,1369.333374,0.00557769509,
1368.666626,0.0001415157603,1368.666626,0.0007892032154,1368.666626,0.0007575401105,1368.666626,0.002981219208,1368.666626,0.002226584591,1368.666626,0.005675718654,1368.666626,0.005671181716,
1368,9.653950838E-005,1368,0.0007673681248,1368,0.000750564679,1368,0.002889482537,1368,0.002133134287,1368,0.005578088574,1368,0.005666198675,
1367.333374,0.0001039963827,1367.333374,0.0007714913227,1367.333374,0.0008263928466,1367.333374,0.002872049576,1367.333374,0.002108110115,1367.333374,0.005592719652,1367.333374,0.005709237419,
1366.666626,3.098660818E-005,1366.666626,0.0006455060211,1366.666626,0.000619945291,1366.666626,0.002752721775,1366.666626,0.001894812682,1366.666626,0.005329483654,1366.666626,0.005457726307,
1366,9.459762805E-005,1366,0.0007356806891,1366,0.0006449875655,1366,0.002767284168,1366,0.001953262836,1366,0.00524398312,1366,0.005363028031,
