t=3hrs FeCl3 0uM,,t=3hrs FeCl3 5uM,,t=3hrs FeCl3 20uM,,t=3hrs FeCl3 50uM,,t=3hrs FeCl3 100uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1400,0.006133428309,1400,0.006036036648,1400,0.01029208396,1400,0.006262670737,1400,0.006186018698,
1399.333374,0.006071026903,1399.333374,0.006039816421,1399.333374,0.0101116905,1399.333374,0.006531912833,1399.333374,0.006311757024,
1398.666626,0.005892482121,1398.666626,0.00549959112,1398.666626,0.009538435377,1398.666626,0.005792599637,1398.666626,0.0058652726,
1398,0.005439272616,1398,0.005173902493,1398,0.008965805173,1398,0.005510496907,1398,0.005615900271,
1397.333374,0.005034116097,1397.333374,0.004435457289,1397.333374,0.008056542836,1397.333374,0.004718380049,1397.333374,0.004928408656,
1396.666626,0.004803960212,1396.666626,0.004310208838,1396.666626,0.007701106369,1396.666626,0.004642575979,1396.666626,0.004820109811,
1396,0.004240435548,1396,0.003910230473,1396,0.007137022913,1396,0.004659007303,1396,0.004693572875,
1395.333374,0.00384112238,1395.333374,0.003611989319,1395.333374,0.006502718665,1395.333374,0.004330418538,1395.333374,0.004433626775,
1394.666626,0.003376872512,1394.666626,0.003140996443,1394.666626,0.005765789654,1394.666626,0.004084303509,1394.666626,0.004153372254,
1394,0.00318480283,1394,0.002423593309,1394,0.004863929003,1394,0.002823767485,1394,0.003375594271,
1393.333374,0.002770644845,1393.333374,0.002129128436,1393.333374,0.004454653244,1393.333374,0.002829499543,1393.333374,0.003119068919,
1392.666626,0.002598972525,1392.666626,0.001940495684,1392.666626,0.004105391447,1392.666626,0.002589259064,1392.666626,0.002938710386,
1392,0.002350556897,1392,0.001990838209,1392,0.003997689579,1392,0.003045394085,1392,0.003177345032,
1391.333374,0.002150459681,1391.333374,0.001561917132,1391.333374,0.003616583301,1391.333374,0.002547387499,1391.333374,0.002832990838,
1390.666626,0.002173613058,1390.666626,0.001558461925,1390.666626,0.003426990472,1390.666626,0.002453061286,1390.666626,0.002755769528,
1390,0.001989460085,1390,0.001144112321,1390,0.002839139896,1390,0.001820773468,1390,0.002248571254,
1389.333374,0.001846431056,1389.333374,0.00116635568,1389.333374,0.002896388294,1389.333374,0.002079081722,1389.333374,0.002331115538,
1388.666626,0.001659090398,1388.666626,0.001105234609,1388.666626,0.002708151471,1388.666626,0.002073359676,1388.666626,0.002338480903,
1388,0.001611254527,1388,0.001177309081,1388,0.002770853229,1388,0.002320055151,1388,0.002475215588,
1387.333374,0.001589949708,1387.333374,0.0009557772428,1387.333374,0.002532910556,1387.333374,0.001958281267,1387.333374,0.002254139632,
1386.666626,0.001547420979,1386.666626,0.000822865637,1386.666626,0.002319794847,1386.666626,0.001697471947,1386.666626,0.002128035761,
1386,0.001441390254,1386,0.0007709208294,1386,0.002180507407,1386,0.001632482512,1386,0.002029821277,
1385.333374,0.001412588288,1385.333374,0.0007794265985,1385.333374,0.002223774558,1385.333374,0.00171683298,1385.333374,0.002054476878,
1384.666626,0.001407835749,1384.666626,0.0009240760701,1384.666626,0.002307719551,1384.666626,0.001966862474,1384.666626,0.002281514229,
1384,0.00127047603,1384,0.000737106835,1384,0.0021244979,1384,0.001629052684,1384,0.001974975457,
1383.333374,0.001260610647,1383.333374,0.0008361186483,1383.333374,0.002119919751,1383.333374,0.001800108119,1383.333374,0.002106055152,
1382.666626,0.001284547616,1382.666626,0.0008432251634,1382.666626,0.002114873379,1382.666626,0.001966498327,1382.666626,0.002214537933,
1382,0.001263102982,1382,0.0006951801479,1382,0.002038897946,1382,0.001804890926,1382,0.002102855826,
